kgid	dbid	dblink
0	3784	http://dbpedia.org/resource/Bill_Pullman
1	13258	http://dbpedia.org/resource/Pat_Morita
2	3689	http://dbpedia.org/resource/Christopher_McDonald
3	14183	http://dbpedia.org/resource/Maury_Chaykin
4	9832	http://dbpedia.org/resource/John_Williams
5	7596	http://dbpedia.org/resource/Paul_Benedict
6	2059	http://dbpedia.org/resource/Donald_Pleasence
7	7216	http://dbpedia.org/resource/Harrison_Ford
8	6829	http://dbpedia.org/resource/Hope_Lange
9	9055	http://dbpedia.org/resource/Alec_Baldwin
10	4837	http://dbpedia.org/resource/Robert_Hays
11	6438	http://dbpedia.org/resource/Mark_McKinney
12	11816	http://dbpedia.org/resource/Emmanuelle_B̩art
13	10812	http://dbpedia.org/resource/Richard_Carlson_(actor)
14	1854	http://dbpedia.org/resource/Chow_Yun-fat
15	7114	http://dbpedia.org/resource/Gore_Vidal
16	7282	http://dbpedia.org/resource/Josh_Mostel
17	11926	http://dbpedia.org/resource/Pruitt_Taylor_Vince
18	13609	http://dbpedia.org/resource/Amy_Smart
19	12944	http://dbpedia.org/resource/John_Wood_(English_actor)
20	7471	http://dbpedia.org/resource/Philip_Baker_Hall
21	321	http://dbpedia.org/resource/Jack_Conley_(actor)
22	2613	http://dbpedia.org/resource/Massive_Attack
23	10761	http://dbpedia.org/resource/Royal_Dano
24	12553	http://dbpedia.org/resource/Chris_Elliott
25	4637	http://dbpedia.org/resource/Cher
26	12912	http://dbpedia.org/resource/Elton_John
27	1558	http://dbpedia.org/resource/Farley_Granger
28	9514	http://dbpedia.org/resource/Pen̩lope_Cruz
29	4960	http://dbpedia.org/resource/David_Carradine
30	12720	http://dbpedia.org/resource/Charles_Durning
31	6976	http://dbpedia.org/resource/Verna_Bloom
32	6731	http://dbpedia.org/resource/Tracey_Walter
33	11527	http://dbpedia.org/resource/Francis_Capra
34	10587	http://dbpedia.org/resource/Elmer_Bernstein
35	3097	http://dbpedia.org/resource/Rupert_Everett
36	13423	http://dbpedia.org/resource/Amy_Brenneman
37	8095	http://dbpedia.org/resource/RuPaul
38	8265	http://dbpedia.org/resource/Joan_Chen
39	9869	http://dbpedia.org/resource/Michael_J._Pollard
40	6206	http://dbpedia.org/resource/Jason_Flemyng
41	12282	http://dbpedia.org/resource/Elizabeth_Berkley
42	9354	http://dbpedia.org/resource/Matt_Dillon
