kgid	dbid	dblink
0	3503	http://dbpedia.org/class/yago/WikicatFilmsDirectedByJoelSchumacher
1	1827	http://dbpedia.org/class/yago/Wikicat1999HorrorFilms
2	161	http://dbpedia.org/ontology/Film
3	5600	http://dbpedia.org/class/yago/Wikicat1990sLGBT-relatedFilms
4	1890	http://www.wikidata.org/entity/Q15416
5	13647	http://dbpedia.org/class/yago/WikicatAmericanChildren'sFilms
6	10578	http://dbpedia.org/class/yago/WikicatSequelFilms
7	5650	http://dbpedia.org/class/yago/WikicatFrenchScienceFictionFilms
8	2925	http://dbpedia.org/class/yago/Performer110415638
9	30	http://dbpedia.org/class/yago/Wikicat1958Films
10	8585	http://dbpedia.org/class/yago/WikicatCrossoverFilms
11	14386	http://dbpedia.org/class/yago/WikicatAmericanFantasyFilms
12	7869	http://dbpedia.org/class/yago/WikicatAmericanComing-of-ageFilms
13	4772	http://dbpedia.org/class/yago/WikicatSlasherFilms
14	2365	http://dbpedia.org/class/yago/Wikicat1990sComedy-dramaFilms
15	3337	http://schema.org/CreativeWork
16	4988	http://schema.org/Movie
17	13070	http://dbpedia.org/class/yago/Wikicat1980sCrimeFilms
18	13871	http://dbpedia.org/class/yago/WikicatAmericanChristmasFilms
19	5579	http://dbpedia.org/class/yago/Wikicat1990sCrimeThrillerFilms
20	6450	http://dbpedia.org/class/yago/WikicatWestern(genre)ComedyFilms
21	9236	http://dbpedia.org/class/yago/WikicatCyberpunkFilms
22	6890	http://dbpedia.org/class/yago/SoundRecording104262678
23	8002	http://dbpedia.org/class/yago/WikicatRebootFilms
24	2636	http://dbpedia.org/class/yago/WikicatFilmsFeaturingAnthropomorphicCharacters
25	151	http://dbpedia.org/class/yago/WikicatComedyHorrorFilms
26	1467	http://dbpedia.org/class/yago/WikicatDirectorialDebutFilms
27	4984	http://dbpedia.org/class/yago/Wikicat1970sMusicalFilms
28	2844	http://dbpedia.org/class/yago/Wikicat1998Films
29	10197	http://dbpedia.org/class/yago/WikicatColumbiaPicturesFilms
30	5561	http://dbpedia.org/class/yago/Book106410904
31	8640	http://dbpedia.org/class/yago/WikicatFilmsDirectedByRobertStevenson
32	8706	http://dbpedia.org/class/yago/Play107018931
33	1331	http://dbpedia.org/class/yago/WikicatRKOPicturesFilms
34	2772	http://dbpedia.org/class/yago/Picture103931044
35	9614	http://dbpedia.org/class/yago/WikicatBritishFantasyFilms
36	1835	http://dbpedia.org/class/yago/WikicatFeministFilms
37	2197	http://dbpedia.org/class/yago/WikicatBasketballFilms
38	6426	http://dbpedia.org/class/yago/WikicatFilmsBasedOnBiographies
