kgid	dbid	dblink
0	932	http://dbpedia.org/resource/Charles_P._Boyle
1	9230	http://dbpedia.org/resource/Jacques_Haitkin
2	3209	http://dbpedia.org/resource/Bojan_Bazelli
3	2344	http://dbpedia.org/resource/Philippe_Rousselot
4	8120	http://dbpedia.org/resource/Stephen_Goldblatt
5	10228	http://dbpedia.org/resource/Ian_Baker_(cinematographer)
6	1986	http://dbpedia.org/resource/Robert_Rodriguez
7	7894	http://dbpedia.org/resource/Oliver_Stapleton
8	3512	http://dbpedia.org/resource/Lionel_Lindon
9	7508	http://dbpedia.org/resource/Matthew_Libatique
10	7784	http://dbpedia.org/resource/Peter_James_(cinematographer)
11	1743	http://dbpedia.org/resource/Tak_Fujimoto
12	6540	http://dbpedia.org/resource/Robert_Fraisse_(cinematographer)
13	5450	http://dbpedia.org/resource/John_Alcott
14	2958	http://dbpedia.org/resource/Russell_Boyd
15	11267	http://dbpedia.org/resource/Peter_Biziou
16	13420	http://dbpedia.org/resource/Edward_Colman_(cinematographer)
17	587	http://dbpedia.org/resource/Jack_Asher
18	6953	http://dbpedia.org/resource/Jeffrey_L._Kimball
19	10487	http://dbpedia.org/resource/Thomas_Del_Ruth
20	14569	http://dbpedia.org/resource/David_Watkin_(cinematographer)
21	5124	http://dbpedia.org/resource/Ellen_Kuras
22	13590	http://dbpedia.org/resource/John_R._Leonetti
23	3148	http://dbpedia.org/resource/Peter_Deming
24	6695	http://dbpedia.org/resource/Floyd_Crosby
25	9458	http://dbpedia.org/resource/Dariusz_Wolski
26	13987	http://dbpedia.org/resource/Don_Coscarelli
27	5449	http://dbpedia.org/resource/Richard_H._Kline
28	5785	http://dbpedia.org/resource/Newton_Thomas_Sigel
29	6735	http://dbpedia.org/resource/Paul_Sarossy
30	5937	http://dbpedia.org/resource/Mac_Ahlberg
31	6546	http://dbpedia.org/resource/Guillermo_Navarro
32	8786	http://dbpedia.org/resource/John_Seale
33	13507	http://dbpedia.org/resource/Ernest_Dickerson
34	12281	http://dbpedia.org/resource/Otto_Heller
35	8190	http://dbpedia.org/resource/Peter_Hyams
36	4591	http://dbpedia.org/resource/Amir_Mokri
37	993	http://dbpedia.org/resource/Shinya_Tsukamoto
38	6253	http://dbpedia.org/resource/Michael_Seresin
39	10669	http://dbpedia.org/resource/Ray_June
40	8446	http://dbpedia.org/resource/Alan_Hume
41	10063	http://dbpedia.org/resource/Robert_Surtees_(cinematographer)
42	1039	http://dbpedia.org/resource/Robert_Burks
43	14176	http://dbpedia.org/resource/Dick_Pope_(cinematographer)
44	13539	http://dbpedia.org/resource/Jerzy_Zielinski
45	9191	http://dbpedia.org/resource/Ueli_Steiger
46	8887	http://dbpedia.org/resource/Joseph_LaShelle
47	14172	http://dbpedia.org/resource/Lucien_Ballard
48	11376	http://dbpedia.org/resource/Ron_Fortunato
49	5899	http://dbpedia.org/resource/Andrzej_SekuÅa
50	6592	http://dbpedia.org/resource/Tony_Pierce-Roberts
51	8496	http://dbpedia.org/resource/Donald_Peterman
52	9631	http://dbpedia.org/resource/Caleb_Deschanel
53	12484	http://dbpedia.org/resource/Michael_Spiller
54	11498	http://dbpedia.org/resource/Juan_Ruiz_AnchÃ­a
55	12768	http://dbpedia.org/resource/Joseph_MacDonald
56	9133	http://dbpedia.org/resource/Frederick_Elmes
57	12335	http://dbpedia.org/resource/JosÃ©_Luis_Alcaine
58	1866	http://dbpedia.org/resource/Harry_Stradling
59	10901	http://dbpedia.org/resource/Sacha_Vierny
60	3309	http://dbpedia.org/resource/Hubert_Taczanowski
61	12940	http://dbpedia.org/resource/Bruce_Brown
62	6011	http://dbpedia.org/resource/Darius_Khondji
63	5791	http://dbpedia.org/resource/Lee_Garmes
64	2823	http://dbpedia.org/resource/Miroslav_OndÅÃ­Äek
65	6417	http://dbpedia.org/resource/Steven_Spielberg
66	6259	http://dbpedia.org/resource/Seamus_McGarvey
67	5216	http://dbpedia.org/resource/Vittorio_Storaro
68	9909	http://dbpedia.org/resource/Mike_Southon_(cinematographer)
69	12167	http://dbpedia.org/resource/Paul_Cameron_(cinematographer)
70	12658	http://dbpedia.org/resource/Gregg_Toland
71	3855	http://dbpedia.org/resource/Steven_Bernstein_(cinematographer)
72	6402	http://dbpedia.org/resource/John_Hora
73	5957	http://dbpedia.org/resource/Donald_E._Thorin
74	4673	http://dbpedia.org/resource/Harry_Stradling_Jr.
75	3412	http://dbpedia.org/resource/George_Barnes_(cinematographer)
76	5140	http://dbpedia.org/resource/Jean-Yves_Escoffier
77	11586	http://dbpedia.org/resource/John_Mathieson_(cinematographer)
78	5220	http://dbpedia.org/resource/Vilmos_Zsigmond
79	4623	http://dbpedia.org/resource/Phedon_Papamichael
80	10752	http://dbpedia.org/resource/Roland_Totheroh
81	9552	http://dbpedia.org/resource/Andrew_Lesnie
82	1932	http://dbpedia.org/resource/Stephen_F._Windon
83	211	http://dbpedia.org/resource/Conrad_L._Hall
84	5380	http://dbpedia.org/resource/Quentin_Tarantino
85	1036	http://dbpedia.org/resource/Nicolas_Roeg
86	13574	http://dbpedia.org/resource/Robert_Elswit
87	7517	http://dbpedia.org/resource/A.S.C.
88	5333	http://dbpedia.org/resource/Julio_Macat
89	6111	http://dbpedia.org/resource/Stanley_Kubrick
90	9499	http://dbpedia.org/resource/Bill_Pope
91	9961	http://dbpedia.org/resource/American_Society_of_Cinematographers
92	13090	http://dbpedia.org/resource/Anthony_B._Richmond
93	6459	http://dbpedia.org/resource/Don_Burgess_(cinematographer)
94	13327	http://dbpedia.org/resource/Tom_DiCillo
95	3931	http://dbpedia.org/resource/Geoffrey_Simpson
96	10883	http://dbpedia.org/resource/LÃ¡szlÃ³_KovÃ¡cs_(cinematographer)
97	13269	http://dbpedia.org/resource/Peter_Suschitzky
98	6474	http://dbpedia.org/resource/Theo_van_de_Sande
99	9200	http://dbpedia.org/resource/Sam_Leavitt
100	13479	http://dbpedia.org/resource/Adam_Greenberg_(cinematographer)
101	2815	http://dbpedia.org/resource/Michael_Chapman_(cinematographer)
102	368	http://dbpedia.org/resource/Peter_Menzies_Jr.
103	5230	http://dbpedia.org/resource/Roger_Pratt_(cinematographer)
104	13637	http://dbpedia.org/resource/Jost_Vacano
105	5313	http://dbpedia.org/resource/Emmanuel_Lubezki
106	5871	http://dbpedia.org/resource/Francis_Kenny
107	9057	http://dbpedia.org/resource/Billy_Williams_(cinematographer)
108	7924	http://dbpedia.org/resource/John_A._Alonzo
109	3044	http://dbpedia.org/resource/Philip_H._Lathrop
110	7493	http://dbpedia.org/resource/James_Wong_Howe
111	10668	http://dbpedia.org/resource/Harold_Rosson
112	9119	http://dbpedia.org/resource/Charles_F._Wheeler
113	10662	http://dbpedia.org/resource/Bruce_Surtees
114	9587	http://dbpedia.org/resource/Michael_Coulter
115	3430	http://dbpedia.org/resource/Fred_J._Koenekamp
116	5231	http://dbpedia.org/resource/Edward_Lachman
117	12056	http://dbpedia.org/resource/Gale_Tattersall
118	12752	http://dbpedia.org/resource/Gu_Changwei
119	3694	http://dbpedia.org/resource/Alex_Thomson_(cinematographer)
120	4042	http://dbpedia.org/resource/Fred_Murphy_(cinematographer)
121	10154	http://dbpedia.org/resource/Haskell_Wexler
122	7882	http://dbpedia.org/resource/Owen_Roizman
123	7956	http://dbpedia.org/resource/Joseph_Ruttenberg
124	7431	http://dbpedia.org/resource/NÃ©stor_Almendros
125	10101	http://dbpedia.org/resource/Roy_H._Wagner
126	2978	http://dbpedia.org/resource/Bill_Butler_(cinematographer)
127	9891	http://dbpedia.org/resource/Karl_Walter_Lindenlaub
128	14307	http://dbpedia.org/resource/Joseph_F._Biroc
129	11130	http://dbpedia.org/resource/Adrian_Biddle
130	7221	http://dbpedia.org/resource/Robert_Richardson_(cinematographer)
131	10765	http://dbpedia.org/resource/John_Toll
132	6389	http://dbpedia.org/resource/Arthur_Grant_(cinematographer)
133	4788	http://dbpedia.org/resource/Russell_Carpenter
134	10386	http://dbpedia.org/resource/Lajos_Koltai
135	14689	http://dbpedia.org/resource/Steven_Soderbergh
136	4457	http://dbpedia.org/resource/Victor_Milner
137	12932	http://dbpedia.org/resource/Geoffrey_Unsworth
138	5037	http://dbpedia.org/resource/Malik_Hassan_Sayeed
139	10844	http://dbpedia.org/resource/Peter_Levy_(cinematographer)
140	8457	http://dbpedia.org/resource/Robert_Yeoman
141	260	http://dbpedia.org/resource/Nick_McLean
142	1366	http://dbpedia.org/resource/Roger_Deakins
143	2665	http://dbpedia.org/resource/Peter_Jackson
144	12266	http://dbpedia.org/resource/Mario_Bava
145	2384	http://dbpedia.org/resource/Maryse_Alberti
146	5032	http://dbpedia.org/resource/Karl_Freund
147	14044	http://dbpedia.org/resource/Kevin_Brownlow
148	12592	http://dbpedia.org/resource/John_Waters
