kgid	dbid	dblink
0	2816	http://dbpedia.org/resource/Ingmar_Bergman
1	7425	http://dbpedia.org/resource/Clyde_Geronimi
2	3111	http://dbpedia.org/resource/Joe_Johnston
3	5721	http://dbpedia.org/resource/Mike_Hodges
4	10618	http://dbpedia.org/resource/Terry_Gilliam
5	1986	http://dbpedia.org/resource/Robert_Rodriguez
6	8584	http://dbpedia.org/resource/Richard_Donner
7	11996	http://dbpedia.org/resource/Terence_Fisher
8	7573	http://dbpedia.org/resource/Pat_Proft
9	11689	http://dbpedia.org/resource/Ted_Post
10	12564	http://dbpedia.org/resource/Alan_Rudolph
11	6247	http://dbpedia.org/resource/Walter_Hill_(director)
12	10042	http://dbpedia.org/resource/Matthew_Broderick
13	2465	http://dbpedia.org/resource/Harold_Ramis
14	1162	http://dbpedia.org/resource/Brenda_Chapman
15	4622	http://dbpedia.org/resource/Alex_Cox
16	4603	http://dbpedia.org/resource/Ivan_Reitman
17	4052	http://dbpedia.org/resource/Renny_Harlin
18	10232	http://dbpedia.org/resource/Sidney_Poitier
19	8467	http://dbpedia.org/resource/Gary_Sinise
20	6610	http://dbpedia.org/resource/Zhang_Yimou
21	11116	http://dbpedia.org/resource/Roger_Vadim
22	12099	http://dbpedia.org/resource/Michael_Winterbottom
23	9048	http://dbpedia.org/resource/Jon_Amiel
24	7665	http://dbpedia.org/resource/Edward_Dmytryk
25	1388	http://dbpedia.org/resource/Dan_Ireland
26	10130	http://dbpedia.org/resource/Richard_Rich_(director)
27	9590	http://dbpedia.org/resource/David_W._Allen
28	2782	http://dbpedia.org/resource/Stuart_Baird
29	13527	http://dbpedia.org/resource/Robert_Zemeckis
30	7198	http://dbpedia.org/resource/Jim_Jarmusch
31	4285	http://dbpedia.org/resource/Howard_Hawks
32	9100	http://dbpedia.org/resource/Orson_Welles
33	7735	http://dbpedia.org/resource/Jonathan_Frakes
34	11195	http://dbpedia.org/resource/Jerry_Lewis
35	8265	http://dbpedia.org/resource/Joan_Chen
36	12393	http://dbpedia.org/resource/Barbra_Streisand
37	9955	http://dbpedia.org/resource/John_Landis
38	4542	http://dbpedia.org/resource/David_Swift_(director)
39	9928	http://dbpedia.org/resource/Albert_Brooks
40	8126	http://dbpedia.org/resource/Howard_Deutch
41	7393	http://dbpedia.org/resource/Ulu_Grosbard
42	1373	http://dbpedia.org/resource/Brett_Leonard
43	1036	http://dbpedia.org/resource/Nicolas_Roeg
44	948	http://dbpedia.org/resource/Brian_G._Hutton
45	11548	http://dbpedia.org/resource/Bernard_Rose_(director)
46	12822	http://dbpedia.org/resource/John_Duigan
47	13958	http://dbpedia.org/resource/Merian_C._Cooper
48	10478	http://dbpedia.org/resource/Spike_Lee
49	3553	http://dbpedia.org/resource/J._Todd_Anderson
50	6111	http://dbpedia.org/resource/Stanley_Kubrick
51	9570	http://dbpedia.org/resource/Ken_Loach
52	3035	http://dbpedia.org/resource/Alfonso_Arau
53	2179	http://dbpedia.org/resource/Ben_Stiller
54	12907	http://dbpedia.org/resource/Carl_Reiner
55	4923	http://dbpedia.org/resource/Tony_Randel
56	5853	http://dbpedia.org/resource/John_Huston
57	10944	http://dbpedia.org/resource/Alan_Parker
58	6873	http://dbpedia.org/resource/Barbet_Schroeder
59	13222	http://dbpedia.org/resource/George_Pal
60	12479	http://dbpedia.org/resource/Steven_E._de_Souza
61	8489	http://dbpedia.org/resource/John_Badham
62	12493	http://dbpedia.org/resource/Richard_LaGravenese
63	2916	http://dbpedia.org/resource/Rich_Wilkes
64	1238	http://dbpedia.org/resource/Tim_Robbins
65	3252	http://dbpedia.org/resource/Tamra_Davis
66	12722	http://dbpedia.org/resource/Hugh_Wilson_(director)
67	10836	http://dbpedia.org/resource/David_Twohy
68	3025	http://dbpedia.org/resource/Bruce_McCulloch
69	12534	http://dbpedia.org/resource/Randal_Kleiser
