kgid	dbid	dblink
0	5491	http://dbpedia.org/resource/Stephen_E._Rivkin
1	4889	http://dbpedia.org/resource/George_Tomasini
2	3963	http://dbpedia.org/resource/Mick_Audsley
3	2700	http://dbpedia.org/resource/Jay_Rabinowitz_(editor)
4	143	http://dbpedia.org/resource/Barry_Malkin
5	1986	http://dbpedia.org/resource/Robert_Rodriguez
6	14384	http://dbpedia.org/resource/Daniel_P._Hanley
7	13893	http://dbpedia.org/resource/Susan_E._Morse
8	2392	http://dbpedia.org/resource/Julie_Monroe
9	10878	http://dbpedia.org/resource/Kent_Beyda
10	2656	http://dbpedia.org/resource/Stuart_Gilmore
11	5303	http://dbpedia.org/resource/Anne_V._Coates
12	4319	http://dbpedia.org/resource/Dennis_Virkler
13	3657	http://dbpedia.org/resource/Peter_Boyle_(film_editor)
14	1333	http://dbpedia.org/resource/Brian_Berdan
15	6163	http://dbpedia.org/resource/Lesley_Walker
16	5700	http://dbpedia.org/resource/Hank_Corwin
17	11341	http://dbpedia.org/resource/Sarah_Flack
18	112	http://dbpedia.org/resource/Nino_Baragli
19	11187	http://dbpedia.org/resource/Herv̩_de_Luze
20	10595	http://dbpedia.org/resource/James_Cameron
21	13987	http://dbpedia.org/resource/Don_Coscarelli
22	1638	http://dbpedia.org/resource/Joe_Dante
23	12200	http://dbpedia.org/resource/Ralph_E._Winters
24	465	http://dbpedia.org/resource/Stephen_Semel
25	10769	http://dbpedia.org/resource/Lisa_Fruchtman
26	14136	http://dbpedia.org/resource/Marcia_Lucas
27	10338	http://dbpedia.org/resource/Michael_Kahn_(film_editor)
28	993	http://dbpedia.org/resource/Shinya_Tsukamoto
29	1789	http://dbpedia.org/resource/Barry_Alexander_Brown
30	4622	http://dbpedia.org/resource/Alex_Cox
31	13364	http://dbpedia.org/resource/James_E._Newcom
32	3235	http://dbpedia.org/resource/Christian_Wagner
33	9025	http://dbpedia.org/resource/Christopher_Greenbury
34	326	http://dbpedia.org/resource/Jill_Bilcock
35	2759	http://dbpedia.org/resource/Harry_Keramidas
36	2010	http://dbpedia.org/resource/D._W._Griffith
37	4246	http://dbpedia.org/resource/Tim_Squyres
38	8849	http://dbpedia.org/resource/Claire_Simpson
39	3869	http://dbpedia.org/resource/Daniel_Mandell
40	234	http://dbpedia.org/resource/Mark_Goldblatt
41	11236	http://dbpedia.org/resource/David_Bretherton
42	7665	http://dbpedia.org/resource/Edward_Dmytryk
43	13610	http://dbpedia.org/resource/Danford_B._Greene
44	8455	http://dbpedia.org/resource/Mike_Hill_(film_editor)
45	2782	http://dbpedia.org/resource/Stuart_Baird
46	2200	http://dbpedia.org/resource/Anthony_Harvey
47	7198	http://dbpedia.org/resource/Jim_Jarmusch
48	5200	http://dbpedia.org/resource/Robert_Watts
49	12940	http://dbpedia.org/resource/Bruce_Brown
50	4021	http://dbpedia.org/resource/Jay_Cassidy
51	981	http://dbpedia.org/resource/Buster_Keaton
52	1287	http://dbpedia.org/resource/Richard_Pearson_(film_editor)
53	9367	http://dbpedia.org/resource/Richard_Francis-Bruce
54	10575	http://dbpedia.org/resource/Neil_Travis
55	6504	http://dbpedia.org/resource/Jim_Clark_(film_editor)
56	6437	http://dbpedia.org/resource/Lee_Smith_(editor)
57	12879	http://dbpedia.org/resource/Takeshi_Kitano
58	6765	http://dbpedia.org/resource/George_Folsey,_Jr.
59	464	http://dbpedia.org/resource/Ralph_Rosenblum
60	10739	http://dbpedia.org/resource/Donn_Cambern
61	14071	http://dbpedia.org/resource/Stu_Linder
62	4720	http://dbpedia.org/resource/John_Bloom_(film_editor)
63	4035	http://dbpedia.org/resource/Bud_Molin
64	10462	http://dbpedia.org/resource/Bill_Pankow
65	2581	http://dbpedia.org/resource/Harold_F._Kress
66	13690	http://dbpedia.org/resource/Mark_Stevens_(film_editor)
67	4812	http://dbpedia.org/resource/Richard_Halsey
68	12848	http://dbpedia.org/resource/Kevin_Smith
69	13603	http://dbpedia.org/resource/Wayne_Wahrman
70	3622	http://dbpedia.org/resource/Jamie_Selkirk
71	4440	http://dbpedia.org/resource/David_Finfer
72	14471	http://dbpedia.org/resource/Antony_Gibbs
73	12009	http://dbpedia.org/resource/Bill_Johnson_(editor)
