kgid	dbid	dblink
0	3111	http://dbpedia.org/resource/Joe_Johnston
1	10618	http://dbpedia.org/resource/Terry_Gilliam
2	1986	http://dbpedia.org/resource/Robert_Rodriguez
3	450	http://dbpedia.org/resource/Lawrence_Bender
4	9748	http://dbpedia.org/resource/Aaron_Meyerson
5	8584	http://dbpedia.org/resource/Richard_Donner
6	12225	http://dbpedia.org/resource/Dimitri_Tiomkin
7	7573	http://dbpedia.org/resource/Pat_Proft
8	11904	http://dbpedia.org/resource/Dustin_Hoffman
9	10649	http://dbpedia.org/resource/Charles_Brackett
10	6247	http://dbpedia.org/resource/Walter_Hill_(director)
11	13414	http://dbpedia.org/resource/Steve_McQueen
12	10042	http://dbpedia.org/resource/Matthew_Broderick
13	13134	http://dbpedia.org/resource/Bill_Walsh_(producer)
14	1789	http://dbpedia.org/resource/Barry_Alexander_Brown
15	4603	http://dbpedia.org/resource/Ivan_Reitman
16	4052	http://dbpedia.org/resource/Renny_Harlin
17	8467	http://dbpedia.org/resource/Gary_Sinise
18	359	http://dbpedia.org/resource/Robert_Daley_(producer)
19	3467	http://dbpedia.org/resource/John_Travolta
20	13320	http://dbpedia.org/resource/Barnaby_Thompson
21	6844	http://dbpedia.org/resource/Bernd_Eichinger
22	12099	http://dbpedia.org/resource/Michael_Winterbottom
23	9362	http://dbpedia.org/resource/Karen_Murphy_(producer)
24	11305	http://dbpedia.org/resource/Jonathan_Glickman
25	3486	http://dbpedia.org/resource/David_V._Picker
26	8124	http://dbpedia.org/resource/Jack_L._Warner
27	7133	http://dbpedia.org/resource/Mace_Neufeld
28	6010	http://dbpedia.org/resource/Barbara_De_Fina
29	1388	http://dbpedia.org/resource/Dan_Ireland
30	10130	http://dbpedia.org/resource/Richard_Rich_(director)
31	13527	http://dbpedia.org/resource/Robert_Zemeckis
32	7198	http://dbpedia.org/resource/Jim_Jarmusch
33	9333	http://dbpedia.org/resource/Joel_Soisson
34	10317	http://dbpedia.org/resource/Richard_D._Zanuck
35	5947	http://dbpedia.org/resource/Martha_Schumacher
36	9998	http://dbpedia.org/resource/David_E._Kelley
37	10250	http://dbpedia.org/resource/Michael_Grais
38	4285	http://dbpedia.org/resource/Howard_Hawks
39	10465	http://dbpedia.org/resource/Aron_Warner
40	3993	http://dbpedia.org/resource/Michael_Finnell
41	14032	http://dbpedia.org/resource/Bruce_Berman
42	6765	http://dbpedia.org/resource/George_Folsey,_Jr.
43	9100	http://dbpedia.org/resource/Orson_Welles
44	9307	http://dbpedia.org/resource/Jennings_Lang
45	11195	http://dbpedia.org/resource/Jerry_Lewis
46	9477	http://dbpedia.org/resource/Robert_F._Colesberry
47	12393	http://dbpedia.org/resource/Barbra_Streisand
48	743	http://dbpedia.org/resource/John_Pomeroy
49	6715	http://dbpedia.org/resource/Michael_Barnathan
50	11812	http://dbpedia.org/resource/Rowan_Atkinson
51	7393	http://dbpedia.org/resource/Ulu_Grosbard
52	7197	http://dbpedia.org/resource/John_Watson_(film_producer)
53	8895	http://dbpedia.org/resource/Ben_Myron
54	5102	http://dbpedia.org/resource/John_Bard_Manulis
55	3622	http://dbpedia.org/resource/Jamie_Selkirk
56	13958	http://dbpedia.org/resource/Merian_C._Cooper
57	10478	http://dbpedia.org/resource/Spike_Lee
58	6111	http://dbpedia.org/resource/Stanley_Kubrick
59	14035	http://dbpedia.org/resource/Donald_Rosenfeld
60	815	http://dbpedia.org/resource/Scott_Mosier
61	13035	http://dbpedia.org/resource/Burt_Lancaster
62	3035	http://dbpedia.org/resource/Alfonso_Arau
63	680	http://dbpedia.org/resource/Tomoyuki_Tanaka
64	857	http://dbpedia.org/resource/Buzz_Feitshans
65	4923	http://dbpedia.org/resource/Tony_Randel
66	2761	http://dbpedia.org/resource/Meg_Ryan
67	9483	http://dbpedia.org/resource/Terry_Hayes
68	6873	http://dbpedia.org/resource/Barbet_Schroeder
69	10944	http://dbpedia.org/resource/Alan_Parker
70	13066	http://dbpedia.org/resource/Andrea_Sperling
71	13222	http://dbpedia.org/resource/George_Pal
72	1006	http://dbpedia.org/resource/Sally_Field
73	2436	http://dbpedia.org/resource/Letty_Aronson
74	12493	http://dbpedia.org/resource/Richard_LaGravenese
75	9332	http://dbpedia.org/resource/Tom_Rosenberg
76	1238	http://dbpedia.org/resource/Tim_Robbins
77	1357	http://dbpedia.org/resource/Ian_Bryce
78	12722	http://dbpedia.org/resource/Hugh_Wilson_(director)
79	11219	http://dbpedia.org/resource/Art_Linson
80	10836	http://dbpedia.org/resource/David_Twohy
81	12534	http://dbpedia.org/resource/Randal_Kleiser
82	3654	http://dbpedia.org/resource/Carlo_Ponti
83	8091	http://dbpedia.org/resource/Gary_Lucchesi
84	994	http://dbpedia.org/resource/Howard_Hughes
85	9881	http://dbpedia.org/resource/John_Carpenter
86	1227	http://dbpedia.org/resource/Ron_W._Miller
87	10148	http://dbpedia.org/resource/Steve_Martin
88	4740	http://dbpedia.org/resource/A._Kitman_Ho
89	6291	http://dbpedia.org/resource/Joe_Camp
90	5062	http://dbpedia.org/resource/David_Hoberman
91	1746	http://dbpedia.org/resource/Mike_Myers
92	4582	http://dbpedia.org/resource/Jim_Henson
93	14142	http://dbpedia.org/resource/Nora_Ephron
94	10584	http://dbpedia.org/resource/Charlie_Chaplin
95	8227	http://dbpedia.org/resource/Hilton_A._Green
96	9309	http://dbpedia.org/resource/Ray_Harryhausen
97	7978	http://dbpedia.org/resource/Frank_Capra_III
98	3568	http://dbpedia.org/resource/Michael_Crichton
99	7117	http://dbpedia.org/resource/Steven_Seagal
100	9423	http://dbpedia.org/resource/David_O._Selznick
101	4171	http://dbpedia.org/resource/Ridley_Scott
102	9773	http://dbpedia.org/resource/Wesley_Snipes
103	4589	http://dbpedia.org/resource/Jean-Jacques_Annaud
104	6652	http://dbpedia.org/resource/Edward_Burns
105	9293	http://dbpedia.org/resource/Benjamin_Melniker
106	2009	http://dbpedia.org/resource/Dale_Pollock
107	9019	http://dbpedia.org/resource/Robert_W._Cort
108	13208	http://dbpedia.org/resource/Hal_Hartley
109	8279	http://dbpedia.org/resource/Kurt_Russell
110	8727	http://dbpedia.org/resource/Peter_Bogdanovich
111	3843	http://dbpedia.org/resource/Ismail_Merchant
112	13828	http://dbpedia.org/resource/Mel_Brooks
113	8900	http://dbpedia.org/resource/Stanley_Donen
114	7850	http://dbpedia.org/resource/Gary_Ross
115	130	http://dbpedia.org/resource/John_Cassavetes
116	8392	http://dbpedia.org/resource/Patrick_Markey
117	10511	http://dbpedia.org/resource/Jerry_Wald
118	13904	http://dbpedia.org/resource/Robin_Williams
119	7278	http://dbpedia.org/resource/Kenny_Ortega
120	1479	http://dbpedia.org/resource/Charles_Gordon_(producer)
121	6104	http://dbpedia.org/resource/Robert_Shaye
122	12492	http://dbpedia.org/resource/Paul_Schiff
123	7750	http://dbpedia.org/resource/Pieter_Jan_Brugge
124	3291	http://dbpedia.org/resource/Richard_Pryor
125	817	http://dbpedia.org/resource/David_Parfitt
