kg_id	ml1m_id	db_id	name	dbpedia_url
0	2	9466	Jumanji (1995)	http://dbpedia.org/resource/Jumanji
1	3	4013	Grumpier Old Men (1995)	http://dbpedia.org/resource/Grumpier_Old_Men
2	4	13328	Waiting to Exhale (1995)	http://dbpedia.org/resource/Waiting_to_Exhale
3	5	4871	Father of the Bride Part II (1995)	http://dbpedia.org/resource/Father_of_the_Bride_Part_II
4	6	12873	Heat (1995)	http://dbpedia.org/resource/Heat_(1995_film)
5	7	7940	Sabrina (1995)	http://dbpedia.org/resource/Sabrina_(1995_film)
6	8	10171	Tom and Huck (1995)	http://dbpedia.org/resource/Tom_and_Huck
7	10	1056	GoldenEye (1995)	http://dbpedia.org/resource/GoldenEye
8	11	4708	American President, The (1995)	http://dbpedia.org/resource/The_American_President
9	12	12726	Dracula: Dead and Loving It (1995)	http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It
10	13	4188	Balto (1995)	http://dbpedia.org/resource/Balto_(film)
11	14	7242	Nixon (1995)	http://dbpedia.org/resource/Nixon_(film)
12	15	9999	Cutthroat Island (1995)	http://dbpedia.org/resource/Cutthroat_Island
13	16	8503	Casino (1995)	http://dbpedia.org/resource/Casino_(film)
14	17	13481	Sense and Sensibility (1995)	http://dbpedia.org/resource/Sense_and_Sensibility_(film)
15	18	12977	Four Rooms (1995)	http://dbpedia.org/resource/Four_Rooms
16	19	6774	Ace Ventura: When Nature Calls (1995)	http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls
17	20	14429	Money Train (1995)	http://dbpedia.org/resource/Money_Train_(film)
18	21	12645	Get Shorty (1995)	http://dbpedia.org/resource/Get_Shorty_(film)
19	22	8632	Copycat (1995)	http://dbpedia.org/resource/Copycat_(film)
20	23	7283	Assassins (1995)	http://dbpedia.org/resource/Assassins_(film)
21	24	5522	Powder (1995)	http://dbpedia.org/resource/Powder_(film)
22	25	11019	Leaving Las Vegas (1995)	http://dbpedia.org/resource/Leaving_Las_Vegas
23	26	9335	Othello (1995)	http://dbpedia.org/resource/Othello_(1995_film)
24	27	10453	Now and Then (1995)	http://dbpedia.org/resource/I_Now_Pronounce_You_Chuck_and_Larry
25	28	6444	Persuasion (1995)	http://dbpedia.org/resource/Persuasion_(1995_film)
26	29	5614	City of Lost Children, The (1995)	http://dbpedia.org/resource/The_City_of_Lost_Children
27	30	14147	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	http://dbpedia.org/resource/Shanghai_Triad
28	31	2358	Dangerous Minds (1995)	http://dbpedia.org/resource/Dangerous_Minds
29	32	11618	Twelve Monkeys (1995)	http://dbpedia.org/resource/12_Monkeys
30	33	2226	Wings of Courage (1995)	http://dbpedia.org/resource/Wings_of_Courage
31	34	13785	Babe (1995)	http://dbpedia.org/resource/Babe_(film)
32	35	13848	Carrington (1995)	http://dbpedia.org/resource/Carrington_(film)
33	36	8096	Dead Man Walking (1995)	http://dbpedia.org/resource/Dead_Man_Walking_(film)
34	38	4843	It Takes Two (1995)	http://dbpedia.org/resource/It_Takes_Two_(1995_film)
35	39	6290	Clueless (1995)	http://dbpedia.org/resource/Clueless_(film)
36	40	3050	Cry, the Beloved Country (1995)	http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)
37	41	1633	Richard III (1995)	http://dbpedia.org/resource/Richard_III_(1995_film)
38	42	5170	Dead Presidents (1995)	http://dbpedia.org/resource/Dead_Presidents
39	43	13977	Restoration (1995)	http://dbpedia.org/resource/Restoration_(1995_film)
40	44	10436	Mortal Kombat (1995)	http://dbpedia.org/resource/Mortal_Kombat_(film)
41	45	10801	To Die For (1995)	http://dbpedia.org/resource/To_Die_For_(1994_film)
42	46	10732	How to Make an American Quilt (1995)	http://dbpedia.org/resource/How_to_Make_an_American_Quilt
43	47	4876	Seven (Se7en) (1995)	http://dbpedia.org/resource/Seven_(1995_film)
44	48	12034	Pocahontas (1995)	http://dbpedia.org/resource/Pocahontas_(1995_film)
45	49	9031	When Night Is Falling (1995)	http://dbpedia.org/resource/When_Night_Is_Falling
46	50	10617	Usual Suspects, The (1995)	http://dbpedia.org/resource/The_Usual_Suspects
47	52	13751	Mighty Aphrodite (1995)	http://dbpedia.org/resource/Mighty_Aphrodite
48	53	10507	Lamerica (1994)	http://dbpedia.org/resource/Lamerica
49	54	12899	Big Green, The (1995)	http://dbpedia.org/resource/The_Big_Green
50	55	5612	Georgia (1995)	http://dbpedia.org/resource/Georgia_(1995_film)
