kgid	dbid	dblink
0	10395	http://dbpedia.org/resource/Republic_Pictures
1	13185	http://dbpedia.org/resource/Blue_Sky_Studios
2	8039	http://dbpedia.org/resource/Paramount_Home_Media_Distribution
3	9732	http://dbpedia.org/resource/Sony_Pictures_Home_Entertainment
4	13932	http://dbpedia.org/resource/Troma_Entertainment
5	5897	http://dbpedia.org/resource/Castle_Rock_Entertainment
6	8066	http://dbpedia.org/resource/Christine_Vachon
7	2303	http://dbpedia.org/resource/Lawrence_Gordon_(producer)
8	12580	http://dbpedia.org/resource/Hammer_Film_Productions
9	8353	http://dbpedia.org/resource/Werner_Herzog
10	5405	http://dbpedia.org/resource/View_Askew_Productions
11	13067	http://dbpedia.org/resource/A_Band_Apart
12	13606	http://dbpedia.org/resource/Monogram_Pictures
13	7917	http://dbpedia.org/resource/Scholastic_Corporation
14	6205	http://dbpedia.org/resource/TSG_Pictures
15	11438	http://dbpedia.org/resource/PolyGram_Filmed_Entertainment
16	9906	http://dbpedia.org/resource/Triumph_Films
17	8783	http://dbpedia.org/resource/United_Artists
18	539	http://dbpedia.org/resource/New_Line_Cinema
19	9657	http://dbpedia.org/resource/Don_Simpson
20	9581	http://dbpedia.org/resource/C.O.R.E.
21	3194	http://dbpedia.org/resource/Walt_Disney_Pictures
22	9988	http://dbpedia.org/resource/Steve_Tisch
23	3992	http://dbpedia.org/resource/Compass_International_Pictures
24	2932	http://dbpedia.org/resource/Good_Machine
25	12686	http://dbpedia.org/resource/Jon_Peters
26	11443	http://dbpedia.org/resource/El_Deseo
27	5752	http://dbpedia.org/resource/MGM
28	11940	http://dbpedia.org/resource/Channel_Four_Films
29	4694	http://dbpedia.org/resource/Dino_De_Laurentiis
30	6615	http://dbpedia.org/resource/RKO_Radio_Pictures
31	14519	http://dbpedia.org/resource/Pixar
32	11181	http://dbpedia.org/resource/Sandra_Bullock
33	3884	http://dbpedia.org/resource/Umbrella_Entertainment
34	11503	http://dbpedia.org/resource/Strand_Releasing
35	10509	http://dbpedia.org/resource/Dark_Horse_Comics
36	6488	http://dbpedia.org/resource/Harry_Saltzman
37	14195	http://dbpedia.org/resource/Fran_Drescher
38	12405	http://dbpedia.org/resource/Scott_Rudin
39	8519	http://dbpedia.org/resource/Constantin_Film
40	6413	http://dbpedia.org/resource/John_Hughes_(filmmaker)
41	8929	http://dbpedia.org/resource/Lawrence_Kasdan
42	8090	http://dbpedia.org/resource/Miramax_Films
43	9384	http://dbpedia.org/resource/Universal_Studios
44	8509	http://dbpedia.org/resource/Aardman_Animations
45	13943	http://dbpedia.org/resource/Rysher_Entertainment
46	11799	http://dbpedia.org/resource/Lucasfilm
47	4762	http://dbpedia.org/resource/Zeitgeist_Films
48	13373	http://dbpedia.org/resource/Merchant_Ivory_Productions
49	972	http://dbpedia.org/resource/Industrial_Light_&_Magic
50	11948	http://dbpedia.org/resource/Warner_Bros._Family_Entertainment
51	9704	http://dbpedia.org/resource/Silver_Pictures
52	3853	http://dbpedia.org/resource/HandMade_Films
53	3666	http://dbpedia.org/resource/American_International_Pictures
54	4358	http://dbpedia.org/resource/Fox_Animation_Studios
55	137	http://dbpedia.org/resource/Kevin_Costner
56	3540	http://dbpedia.org/resource/Sullivan_Bluth_Studios
57	3303	http://dbpedia.org/resource/Buena_Vista_Pictures
58	11349	http://dbpedia.org/resource/Epic_Records
59	4926	http://dbpedia.org/resource/Rank_Organisation
60	9775	http://dbpedia.org/resource/Goldcrest_Films
61	7133	http://dbpedia.org/resource/Mace_Neufeld
62	6424	http://dbpedia.org/resource/Bedford_Falls_Productions
63	10494	http://dbpedia.org/resource/DreamWorks_Animation
64	5885	http://dbpedia.org/resource/Buena_Vista_Distribution
65	11190	http://dbpedia.org/resource/Focus_Features
66	1160	http://dbpedia.org/resource/Arnold_Kopelson
67	3909	http://dbpedia.org/resource/Renaissance_Pictures
68	10630	http://dbpedia.org/resource/Criterion_Collection
69	11401	http://dbpedia.org/resource/Carolco_Pictures
70	3565	http://dbpedia.org/resource/BBC
71	1507	http://dbpedia.org/resource/Sony_Pictures_Entertainment
72	7775	http://dbpedia.org/resource/Martin_Lawrence
73	50	http://dbpedia.org/resource/Mandalay_Pictures
74	11640	http://dbpedia.org/resource/Toho
75	12730	http://dbpedia.org/resource/Kino_International_(company)
76	14317	http://dbpedia.org/resource/Lorne_Michaels
77	6627	http://dbpedia.org/resource/New_Concorde
78	7903	http://dbpedia.org/resource/Mark_Gordon
79	1814	http://dbpedia.org/resource/DisneyToon_Studios
80	7911	http://dbpedia.org/resource/Penny_Marshall
81	13865	http://dbpedia.org/resource/Robert_Simonds
82	3786	http://dbpedia.org/resource/Brillstein_Entertainment_Partners
83	11242	http://dbpedia.org/resource/Island_Records
84	1355	http://dbpedia.org/resource/Lions_Gate_Entertainment
85	10411	http://dbpedia.org/resource/Franchise_Pictures
86	14124	http://dbpedia.org/resource/20th_Century_Fox_Home_Entertainment
87	6933	http://dbpedia.org/resource/Regency_Enterprises
88	14237	http://dbpedia.org/resource/Monty_Python
89	6626	http://dbpedia.org/resource/Hanna-Barbera
90	11576	http://dbpedia.org/resource/Imagine_Entertainment
91	10199	http://dbpedia.org/resource/Mirisch_Company
92	11310	http://dbpedia.org/resource/Mandalay_Entertainment
93	10860	http://dbpedia.org/resource/Bing_Crosby
94	11214	http://dbpedia.org/resource/BBC_Films
95	2848	http://dbpedia.org/resource/Denise_Di_Novi
96	41	http://dbpedia.org/resource/Channel_4
97	1404	http://dbpedia.org/resource/RKO_Pictures
98	5369	http://dbpedia.org/resource/Paramount_Vantage
99	10143	http://dbpedia.org/resource/Allied_Artists_Pictures_Corporation
100	1772	http://dbpedia.org/resource/Amblin_Entertainment
101	6298	http://dbpedia.org/resource/Summit_Entertainment
102	13959	http://dbpedia.org/resource/Hemdale_Film_Corporation
103	10166	http://dbpedia.org/resource/TriBeCa_Productions
104	7563	http://dbpedia.org/resource/Live_Entertainment
105	1528	http://dbpedia.org/resource/Wim_Wenders
106	8769	http://dbpedia.org/resource/Capitol_Films
107	12683	http://dbpedia.org/resource/Barry_Levinson
108	11885	http://dbpedia.org/resource/Image_Entertainment
109	8471	http://dbpedia.org/resource/National_Film_and_Television_School
110	8713	http://dbpedia.org/resource/Spyglass_Entertainment
111	2720	http://dbpedia.org/resource/Bryna_Productions
112	6948	http://dbpedia.org/resource/Orion_Pictures_Corporation
113	8395	http://dbpedia.org/resource/Recorded_Picture_Company
114	8222	http://dbpedia.org/resource/Producers_Sales_Organization
115	3317	http://dbpedia.org/resource/Buena_Vista_Pictures_Distribution
116	1667	http://dbpedia.org/resource/Gramercy_Pictures
117	8756	http://dbpedia.org/resource/October_Films
118	5636	http://dbpedia.org/resource/Path̩
119	7007	http://dbpedia.org/resource/Centropolis_Entertainment
120	8812	http://dbpedia.org/resource/USA_Films
121	13645	http://dbpedia.org/resource/Anchor_Bay_Entertainment
122	1514	http://dbpedia.org/resource/The_Kennedy/Marshall_Company
123	5502	http://dbpedia.org/resource/Lionsgate
124	199	http://dbpedia.org/resource/John_and_James_Woolf
125	9681	http://dbpedia.org/resource/David_Kirschner
126	5869	http://dbpedia.org/resource/MTV_Films
127	4415	http://dbpedia.org/resource/Icon_Productions
128	968	http://dbpedia.org/resource/Laurence_Mark
129	11423	http://dbpedia.org/resource/Tim_Burton_Productions
130	2797	http://dbpedia.org/resource/Loews_Cineplex_Entertainment
131	10	http://dbpedia.org/resource/Mutual_Film_Company
132	3133	http://dbpedia.org/resource/Artisan_Entertainment
133	9142	http://dbpedia.org/resource/DreamWorks
134	4086	http://dbpedia.org/resource/Killer_Films
135	6345	http://dbpedia.org/resource/Canal+
136	270	http://dbpedia.org/resource/De_Laurentiis_Entertainment_Group
137	10783	http://dbpedia.org/resource/Film4
138	11345	http://dbpedia.org/resource/Janus_Films
139	4955	http://dbpedia.org/resource/20th_Century_Fox
140	3583	http://dbpedia.org/resource/Full_Moon_Features
141	13563	http://dbpedia.org/resource/Dee_Snider
142	14417	http://dbpedia.org/resource/Intermedia_(production_company)
143	10204	http://dbpedia.org/resource/New_World_Pictures
144	1419	http://dbpedia.org/resource/Eddie_Murphy
145	7271	http://dbpedia.org/resource/CBS
146	11766	http://dbpedia.org/resource/Rastar
147	1430	http://dbpedia.org/resource/Palomar_Pictures
148	8762	http://dbpedia.org/resource/Nick_Wechsler_(producer)
149	11219	http://dbpedia.org/resource/Art_Linson
150	6996	http://dbpedia.org/resource/Davis_Entertainment
151	13591	http://dbpedia.org/resource/Largo_Entertainment
152	10766	http://dbpedia.org/resource/Amblimation
153	8408	http://dbpedia.org/resource/American_Broadcasting_Company
154	5073	http://dbpedia.org/resource/Morgan_Creek_Productions
155	1619	http://dbpedia.org/resource/Fine_Line_Features
156	3654	http://dbpedia.org/resource/Carlo_Ponti
157	2057	http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures
158	10256	http://dbpedia.org/resource/Cathy_Konrad
159	14117	http://dbpedia.org/resource/Trimark_Pictures
160	655	http://dbpedia.org/resource/Seven_Arts_Productions
161	11663	http://dbpedia.org/resource/Nelvana
162	11927	http://dbpedia.org/resource/Working_Title_Films
163	10105	http://dbpedia.org/resource/Hal_B._Wallis
164	1863	http://dbpedia.org/resource/Danny_DeVito
165	7763	http://dbpedia.org/resource/Phoenix_Pictures
166	9105	http://dbpedia.org/resource/HBO
167	9126	http://dbpedia.org/resource/Jordan_Kerner
168	7103	http://dbpedia.org/resource/The_Cannon_Group
169	7053	http://dbpedia.org/resource/Cineplex_Odeon_Films
170	58	http://dbpedia.org/resource/Jack_Giarraputo
171	5256	http://dbpedia.org/resource/Lorimar_Television
172	13498	http://dbpedia.org/resource/Screen_Gems
173	7847	http://dbpedia.org/resource/Keenen_Ivory_Wayans
174	5863	http://dbpedia.org/resource/Richard_P._Rubinstein
175	12918	http://dbpedia.org/resource/Jon_Davison_(film_producer)
176	960	http://dbpedia.org/resource/Walt_Disney_Studios_Home_Entertainment
177	11065	http://dbpedia.org/resource/Embassy_Pictures
178	7741	http://dbpedia.org/resource/Film4_Productions
179	14639	http://dbpedia.org/resource/Interscope_Communications
180	3468	http://dbpedia.org/resource/Bavaria_Film
181	13072	http://dbpedia.org/resource/Heron_Communications
182	6182	http://dbpedia.org/resource/Oliver_Stone
183	603	http://dbpedia.org/resource/Jeff_Most
184	10584	http://dbpedia.org/resource/Charlie_Chaplin
185	6390	http://dbpedia.org/resource/MGM_Home_Entertainment
186	8566	http://dbpedia.org/resource/Damon_Wayans
187	11040	http://dbpedia.org/resource/American_Film_Institute
188	5479	http://dbpedia.org/resource/Fox_Searchlight_Pictures
189	5601	http://dbpedia.org/resource/Alliance_Atlantis
190	5300	http://dbpedia.org/resource/Warner_Bros.
191	2665	http://dbpedia.org/resource/Peter_Jackson
192	9072	http://dbpedia.org/resource/Saul_Zaentz
193	10312	http://dbpedia.org/resource/Transatlantic_Pictures
194	6593	http://dbpedia.org/resource/Mandeville_Films
195	3774	http://dbpedia.org/resource/Bertelsmann_Music_Group
