kgid	dbid	dblink
0	2816	http://dbpedia.org/resource/Ingmar_Bergman
1	5721	http://dbpedia.org/resource/Mike_Hodges
2	10618	http://dbpedia.org/resource/Terry_Gilliam
3	1986	http://dbpedia.org/resource/Robert_Rodriguez
4	6917	http://dbpedia.org/resource/Leslie_Newman
5	7468	http://dbpedia.org/resource/Douglas_McGrath
6	7573	http://dbpedia.org/resource/Pat_Proft
7	10649	http://dbpedia.org/resource/Charles_Brackett
8	12564	http://dbpedia.org/resource/Alan_Rudolph
9	6247	http://dbpedia.org/resource/Walter_Hill_(director)
10	6438	http://dbpedia.org/resource/Mark_McKinney
11	2465	http://dbpedia.org/resource/Harold_Ramis
12	7114	http://dbpedia.org/resource/Gore_Vidal
13	13134	http://dbpedia.org/resource/Bill_Walsh_(producer)
14	10831	http://dbpedia.org/resource/Peter_Benchley
15	4622	http://dbpedia.org/resource/Alex_Cox
16	6305	http://dbpedia.org/resource/Don_Lake
17	4052	http://dbpedia.org/resource/Renny_Harlin
18	4874	http://dbpedia.org/resource/Peter_Viertel
19	7916	http://dbpedia.org/resource/Jon_Favreau
20	11116	http://dbpedia.org/resource/Roger_Vadim
21	12800	http://dbpedia.org/resource/Linda_Woolverton
22	12912	http://dbpedia.org/resource/Elton_John
23	6721	http://dbpedia.org/resource/Joan_Harrison_(screenwriter)
24	9786	http://dbpedia.org/resource/Tom_Stoppard
25	13527	http://dbpedia.org/resource/Robert_Zemeckis
26	10600	http://dbpedia.org/resource/Richard_O'Brien
27	7198	http://dbpedia.org/resource/Jim_Jarmusch
28	6386	http://dbpedia.org/resource/Joie_Lee
29	9333	http://dbpedia.org/resource/Joel_Soisson
30	9998	http://dbpedia.org/resource/David_E._Kelley
31	10587	http://dbpedia.org/resource/Elmer_Bernstein
32	4285	http://dbpedia.org/resource/Howard_Hawks
33	10834	http://dbpedia.org/resource/Joel_McNeely
34	9100	http://dbpedia.org/resource/Orson_Welles
35	9307	http://dbpedia.org/resource/Jennings_Lang
