alpha,metric,group,data,opt
0,ndcg,Overall,0.08337988676487079,ETD_LIR_opt
0,ndcg,Male,0.08511110998501178,ETD_LIR_opt
0,ndcg,Female,0.07898999931379898,ETD_LIR_opt
0,ndcg,Under 18,0.06470057832203399,ETD_LIR_opt
0,ndcg,18-24,0.08752594023455908,ETD_LIR_opt
0,ndcg,25-34,0.09203936289433921,ETD_LIR_opt
0,ndcg,35-44,0.09580971012335877,ETD_LIR_opt
0,ndcg,45-49,0.06463565682344882,ETD_LIR_opt
0,ndcg,50-55,0.06761611074147475,ETD_LIR_opt
0,ndcg,56+,0.04312764552841106,ETD_LIR_opt
0,ndcg,other,0.09557867849815431,ETD_LIR_opt
0,ndcg,academic/educator,0.09119933331829656,ETD_LIR_opt
0,ndcg,artist,0.08141416186294391,ETD_LIR_opt
0,ndcg,clerical/admin,0.10092600693083763,ETD_LIR_opt
0,ndcg,college/grad student,0.08294709088420893,ETD_LIR_opt
0,ndcg,customer service,0.07342614870417315,ETD_LIR_opt
0,ndcg,doctor/health care,0.06623020039124715,ETD_LIR_opt
0,ndcg,executive/managerial,0.0727250098617138,ETD_LIR_opt
0,ndcg,farmer,0.0177076468037636,ETD_LIR_opt
0,ndcg,homemaker,0.06821531645139264,ETD_LIR_opt
0,ndcg,K-12 student,0.06234978007130141,ETD_LIR_opt
0,ndcg,lawyer,0.06405099814429627,ETD_LIR_opt
0,ndcg,programmer,0.07480242463520635,ETD_LIR_opt
0,ndcg,retired,0.05730142224705231,ETD_LIR_opt
0,ndcg,sales/marketing,0.07533907666841469,ETD_LIR_opt
0,ndcg,scientist,0.06350691191399492,ETD_LIR_opt
0,ndcg,self-employed,0.1108428627230954,ETD_LIR_opt
0,ndcg,technician/engineer,0.08625200368460416,ETD_LIR_opt
0,ndcg,tradesman/craftsman,0.10529258440318558,ETD_LIR_opt
0,ndcg,unemployed,0.1425163020672176,ETD_LIR_opt
0,ndcg,writer,0.10105474346721974,ETD_LIR_opt
0,hr,Overall,0.1627752939228349,ETD_LIR_opt
0,hr,Male,0.16670514892634494,ETD_LIR_opt
0,hr,Female,0.15281030444964872,ETD_LIR_opt
0,hr,Under 18,0.11312217194570136,ETD_LIR_opt
0,hr,18-24,0.16772438803263826,ETD_LIR_opt
0,hr,25-34,0.18416030534351144,ETD_LIR_opt
