alpha,metric,group,data,opt
0,ndcg,Overall,0.08376765001226213,LIRopt
0,ndcg,Male,0.08655865104991063,LIRopt
0,ndcg,Female,0.07669046880965348,LIRopt
0,ndcg,Under 18,0.07087845355168552,LIRopt
0,ndcg,18-24,0.0920767642874485,LIRopt
0,ndcg,25-34,0.09182985653673296,LIRopt
0,ndcg,35-44,0.09378341333140612,LIRopt
0,ndcg,45-49,0.06411433468010484,LIRopt
0,ndcg,50-55,0.06621598524827113,LIRopt
0,ndcg,56+,0.04258690794082347,LIRopt
0,ndcg,other,0.09528450208617935,LIRopt
0,ndcg,academic/educator,0.09088692023470567,LIRopt
0,ndcg,artist,0.07971972044519342,LIRopt
0,ndcg,clerical/admin,0.10169491107576863,LIRopt
0,ndcg,college/grad student,0.0878452909420461,LIRopt
0,ndcg,customer service,0.0791918102676057,LIRopt
0,ndcg,doctor/health care,0.06867401013321997,LIRopt
0,ndcg,executive/managerial,0.07691484265350533,LIRopt
0,ndcg,farmer,0.0,LIRopt
0,ndcg,homemaker,0.07225745388402711,LIRopt
0,ndcg,K-12 student,0.06747199124690884,LIRopt
0,ndcg,lawyer,0.06014327873645884,LIRopt
0,ndcg,programmer,0.06337944903245517,LIRopt
0,ndcg,retired,0.06606747415518875,LIRopt
0,ndcg,sales/marketing,0.07242439538162442,LIRopt
0,ndcg,scientist,0.056172332823907434,LIRopt
0,ndcg,self-employed,0.10213132637785496,LIRopt
0,ndcg,technician/engineer,0.08496398337436463,LIRopt
0,ndcg,tradesman/craftsman,0.1097621457737517,LIRopt
0,ndcg,unemployed,0.1527846585391375,LIRopt
0,ndcg,writer,0.10641862854445629,LIRopt
0,hr,Overall,0.16045702930948832,LIRopt
0,hr,Male,0.16578157469406604,LIRopt
0,hr,Female,0.14695550351288056,LIRopt
0,hr,Under 18,0.13122171945701358,LIRopt
0,hr,18-24,0.17407071622846781,LIRopt
0,hr,25-34,0.1765267175572519,LIRopt
0,hr,35-44,0.17937971500419111,LIRopt
0,hr,45-49,0.12545454545454546,LIRopt
0,hr,50-55,0.12701612903225806,LIRopt
0,hr,56+,0.08421052631578947,LIRopt
0,hr,other,0.180028129395218,LIRopt
0,hr,academic/educator,0.16098484848484848,LIRopt
0,hr,artist,0.1760299625468165,LIRopt
0,hr,clerical/admin,0.1907514450867052,LIRopt
0,hr,college/grad student,0.1725955204216074,LIRopt
0,hr,customer service,0.14285714285714285,LIRopt
0,hr,doctor/health care,0.1271186440677966,LIRopt
0,hr,executive/managerial,0.15758468335787923,LIRopt
0,hr,farmer,0.0,LIRopt
0,hr,homemaker,0.13043478260869565,LIRopt
0,hr,K-12 student,0.12371134020618557,LIRopt
0,hr,lawyer,0.10852713178294573,LIRopt
0,hr,programmer,0.12886597938144329,LIRopt
0,hr,retired,0.1056338028169014,LIRopt
0,hr,sales/marketing,0.152317880794702,LIRopt
0,hr,scientist,0.11805555555555555,LIRopt
0,hr,self-employed,0.17842323651452283,LIRopt
0,hr,technician/engineer,0.1593625498007968,LIRopt
0,hr,tradesman/craftsman,0.21428571428571427,LIRopt
0,hr,unemployed,0.2638888888888889,LIRopt
0,hr,writer,0.20284697508896798,LIRopt
0,recall,Overall,0.006410806165083036,LIRopt
0,recall,Male,0.0063665889434316395,LIRopt
0,recall,Female,0.006522928405699074,LIRopt
0,recall,Under 18,0.007784634019971495,LIRopt
0,recall,18-24,0.006626536653416233,LIRopt
0,recall,25-34,0.006491921709332901,LIRopt
0,recall,35-44,0.007411239142729893,LIRopt
0,recall,45-49,0.005088449191258604,LIRopt
0,recall,50-55,0.005659817760891659,LIRopt
0,recall,56+,0.004291556629399019,LIRopt
0,recall,other,0.006329817127150966,LIRopt
0,recall,academic/educator,0.0063829380719275085,LIRopt
0,recall,artist,0.007188095800677641,LIRopt
0,recall,clerical/admin,0.006035624555244876,LIRopt
0,recall,college/grad student,0.005625607306440879,LIRopt
0,recall,customer service,0.004143917012364347,LIRopt
0,recall,doctor/health care,0.005520403651261531,LIRopt
0,recall,executive/managerial,0.007156153800407174,LIRopt
0,recall,farmer,0.0,LIRopt
0,recall,homemaker,0.009439815544618549,LIRopt
0,recall,K-12 student,0.0070888472586122875,LIRopt
0,recall,lawyer,0.0033531982123138067,LIRopt
0,recall,programmer,0.005749041483488384,LIRopt
0,recall,retired,0.006370336352899136,LIRopt
0,recall,sales/marketing,0.006383273778718084,LIRopt
0,recall,scientist,0.003976881323586788,LIRopt
0,recall,self-employed,0.006482782030761082,LIRopt
0,recall,technician/engineer,0.007975358880387164,LIRopt
0,recall,tradesman/craftsman,0.009603181564018024,LIRopt
0,recall,unemployed,0.009032478492928835,LIRopt
0,recall,writer,0.006350693865088453,LIRopt
0,precision,Overall,0.018695148203344926,LIRopt
0,precision,Male,0.01930270145462942,LIRopt
0,precision,Female,0.01715456674473068,LIRopt
0,precision,Under 18,0.015837104072398193,LIRopt
0,precision,18-24,0.019673617407071624,LIRopt
0,precision,25-34,0.02051526717557252,LIRopt
0,precision,35-44,0.021877619446772842,LIRopt
0,precision,45-49,0.01472727272727273,LIRopt
0,precision,50-55,0.014112903225806451,LIRopt
0,precision,56+,0.009210526315789473,LIRopt
0,precision,other,0.02039381153305204,LIRopt
0,precision,academic/educator,0.019886363636363636,LIRopt
0,precision,artist,0.020599250936329586,LIRopt
0,precision,clerical/admin,0.021965317919075147,LIRopt
0,precision,college/grad student,0.019631093544137026,LIRopt
0,precision,customer service,0.019642857142857146,LIRopt
0,precision,doctor/health care,0.015254237288135594,LIRopt
0,precision,executive/managerial,0.020029455081001474,LIRopt
0,precision,farmer,0.0,LIRopt
0,precision,homemaker,0.015217391304347827,LIRopt
0,precision,K-12 student,0.01443298969072165,LIRopt
0,precision,lawyer,0.012403100775193798,LIRopt
0,precision,programmer,0.01520618556701031,LIRopt
0,precision,retired,0.011267605633802818,LIRopt
0,precision,sales/marketing,0.016556291390728478,LIRopt
0,precision,scientist,0.011805555555555557,LIRopt
0,precision,self-employed,0.02116182572614108,LIRopt
0,precision,technician/engineer,0.016932270916334664,LIRopt
0,precision,tradesman/craftsman,0.028571428571428577,LIRopt
0,precision,unemployed,0.026388888888888892,LIRopt
0,precision,writer,0.024199288256227757,LIRopt
0,LIR,Overall,0.1682309634452268,LIRopt
0,LIR,Male,0.17284533855111556,LIRopt
0,LIR,Female,0.15653707310958956,LIRopt
0,LIR,Under 18,0.13939373835232696,LIRopt
0,LIR,18-24,0.1792330967472906,LIRopt
0,LIR,25-34,0.1830483531464867,LIRopt
0,LIR,35-44,0.1624753482883227,LIRopt
0,LIR,45-49,0.1725869520110325,LIRopt
0,LIR,50-55,0.16011593727974638,LIRopt
0,LIR,56+,0.09377035890227543,LIRopt
0,LIR,other,0.1668789492751129,LIRopt
0,LIR,academic/educator,0.17052054783483558,LIRopt
0,LIR,artist,0.18071875057893783,LIRopt
0,LIR,clerical/admin,0.18680048432200594,LIRopt
0,LIR,college/grad student,0.1904991293547522,LIRopt
0,LIR,customer service,0.1818513059603755,LIRopt
0,LIR,doctor/health care,0.13822584291853224,LIRopt
0,LIR,executive/managerial,0.1607989257292127,LIRopt
0,LIR,farmer,0.08297596538211474,LIRopt
0,LIR,homemaker,0.1627362119651403,LIRopt
0,LIR,K-12 student,0.13113113392403059,LIRopt
0,LIR,lawyer,0.18777052860295898,LIRopt
0,LIR,programmer,0.1688839288115939,LIRopt
0,LIR,retired,0.07741329770614865,LIRopt
0,LIR,sales/marketing,0.14371545830954427,LIRopt
0,LIR,scientist,0.1686387646688825,LIRopt
0,LIR,self-employed,0.1778753836852589,LIRopt
0,LIR,technician/engineer,0.15466021922266696,LIRopt
0,LIR,tradesman/craftsman,0.1976485587101141,LIRopt
0,LIR,unemployed,0.21081963501130915,LIRopt
0,LIR,writer,0.21422806454833487,LIRopt
0,SEP,Overall,0.477653923540469,LIRopt
0,SEP,Male,0.4792667982556579,LIRopt
0,SEP,Female,0.4735641340840973,LIRopt
0,SEP,Under 18,0.46974971257288684,LIRopt
0,SEP,18-24,0.4782080076592271,LIRopt
0,SEP,25-34,0.4763487975808092,LIRopt
0,SEP,35-44,0.47570030482212394,LIRopt
0,SEP,45-49,0.4753232674686735,LIRopt
0,SEP,50-55,0.49132879080634584,LIRopt
0,SEP,56+,0.4794986963270235,LIRopt
0,SEP,other,0.4658894119103865,LIRopt
0,SEP,academic/educator,0.4817314930561898,LIRopt
0,SEP,artist,0.4735071462723747,LIRopt
0,SEP,clerical/admin,0.4720768469411601,LIRopt
0,SEP,college/grad student,0.4745400062469847,LIRopt
0,SEP,customer service,0.4604004183447334,LIRopt
0,SEP,doctor/health care,0.4774113547362307,LIRopt
0,SEP,executive/managerial,0.4823434947714381,LIRopt
0,SEP,farmer,0.4759438867486101,LIRopt
0,SEP,homemaker,0.4818005308164333,LIRopt
0,SEP,K-12 student,0.46674966493722786,LIRopt
0,SEP,lawyer,0.4906646599127936,LIRopt
0,SEP,programmer,0.4814655268299703,LIRopt
0,SEP,retired,0.4846318077123877,LIRopt
0,SEP,sales/marketing,0.48771980327135145,LIRopt
0,SEP,scientist,0.4891416081480353,LIRopt
