alpha,metric,group,data,opt
0,ndcg,Overall,0.08376765001226213,SEPopt
0,ndcg,Male,0.08655865104991063,SEPopt
0,ndcg,Female,0.07669046880965348,SEPopt
0,ndcg,Under 18,0.07087845355168552,SEPopt
0,ndcg,18-24,0.0920767642874485,SEPopt
0,ndcg,25-34,0.09182985653673296,SEPopt
0,ndcg,35-44,0.09378341333140612,SEPopt
0,ndcg,45-49,0.06411433468010484,SEPopt
0,ndcg,50-55,0.06621598524827113,SEPopt
0,ndcg,56+,0.04258690794082347,SEPopt
0,ndcg,other,0.09528450208617935,SEPopt
0,ndcg,academic/educator,0.09088692023470567,SEPopt
0,ndcg,artist,0.07971972044519342,SEPopt
0,ndcg,clerical/admin,0.10169491107576863,SEPopt
0,ndcg,college/grad student,0.0878452909420461,SEPopt
0,ndcg,customer service,0.0791918102676057,SEPopt
0,ndcg,doctor/health care,0.06867401013321997,SEPopt
0,ndcg,executive/managerial,0.07691484265350533,SEPopt
0,ndcg,farmer,0.0,SEPopt
0,ndcg,homemaker,0.07225745388402711,SEPopt
0,ndcg,K-12 student,0.06747199124690884,SEPopt
0,ndcg,lawyer,0.06014327873645884,SEPopt
0,ndcg,programmer,0.06337944903245517,SEPopt
0,ndcg,retired,0.06606747415518875,SEPopt
0,ndcg,sales/marketing,0.07242439538162442,SEPopt
0,ndcg,scientist,0.056172332823907434,SEPopt
0,ndcg,self-employed,0.10213132637785496,SEPopt
0,ndcg,technician/engineer,0.08496398337436463,SEPopt
0,ndcg,tradesman/craftsman,0.1097621457737517,SEPopt
0,ndcg,unemployed,0.1527846585391375,SEPopt
0,ndcg,writer,0.10641862854445629,SEPopt
0,hr,Overall,0.16045702930948832,SEPopt
0,hr,Male,0.16578157469406604,SEPopt
0,hr,Female,0.14695550351288056,SEPopt
0,hr,Under 18,0.13122171945701358,SEPopt
0,hr,18-24,0.17407071622846781,SEPopt
0,hr,25-34,0.1765267175572519,SEPopt
0,hr,35-44,0.17937971500419111,SEPopt
0,hr,45-49,0.12545454545454546,SEPopt
0,hr,50-55,0.12701612903225806,SEPopt
0,hr,56+,0.08421052631578947,SEPopt
0,hr,other,0.180028129395218,SEPopt
0,hr,academic/educator,0.16098484848484848,SEPopt
0,hr,artist,0.1760299625468165,SEPopt
0,hr,clerical/admin,0.1907514450867052,SEPopt
0,hr,college/grad student,0.1725955204216074,SEPopt
0,hr,customer service,0.14285714285714285,SEPopt
0,hr,doctor/health care,0.1271186440677966,SEPopt
0,hr,executive/managerial,0.15758468335787923,SEPopt
0,hr,farmer,0.0,SEPopt
0,hr,homemaker,0.13043478260869565,SEPopt
0,hr,K-12 student,0.12371134020618557,SEPopt
0,hr,lawyer,0.10852713178294573,SEPopt
0,hr,programmer,0.12886597938144329,SEPopt
0,hr,retired,0.1056338028169014,SEPopt
0,hr,sales/marketing,0.152317880794702,SEPopt
0,hr,scientist,0.11805555555555555,SEPopt
0,hr,self-employed,0.17842323651452283,SEPopt
0,hr,technician/engineer,0.1593625498007968,SEPopt
0,hr,tradesman/craftsman,0.21428571428571427,SEPopt
0,hr,unemployed,0.2638888888888889,SEPopt
0,hr,writer,0.20284697508896798,SEPopt
0,recall,Overall,0.006410806165083036,SEPopt
0,recall,Male,0.0063665889434316395,SEPopt
0,recall,Female,0.006522928405699074,SEPopt
0,recall,Under 18,0.007784634019971495,SEPopt
0,recall,18-24,0.006626536653416233,SEPopt
0,recall,25-34,0.006491921709332901,SEPopt
0,recall,35-44,0.007411239142729893,SEPopt
0,recall,45-49,0.005088449191258604,SEPopt
0,recall,50-55,0.005659817760891659,SEPopt
0,recall,56+,0.004291556629399019,SEPopt
0,recall,other,0.006329817127150966,SEPopt
0,recall,academic/educator,0.0063829380719275085,SEPopt
0,recall,artist,0.007188095800677641,SEPopt
0,recall,clerical/admin,0.006035624555244876,SEPopt
0,recall,college/grad student,0.005625607306440879,SEPopt
0,recall,customer service,0.004143917012364347,SEPopt
0,recall,doctor/health care,0.005520403651261531,SEPopt
0,recall,executive/managerial,0.007156153800407174,SEPopt
0,recall,farmer,0.0,SEPopt
0,recall,homemaker,0.009439815544618549,SEPopt
0,recall,K-12 student,0.0070888472586122875,SEPopt
0,recall,lawyer,0.0033531982123138067,SEPopt
0,recall,programmer,0.005749041483488384,SEPopt
0,recall,retired,0.006370336352899136,SEPopt
0,recall,sales/marketing,0.006383273778718084,SEPopt
0,recall,scientist,0.003976881323586788,SEPopt
