alpha,metric,group,data,opt
0,ndcg,Overall,0.0831532848479745,SEPopt
0,ndcg,Male,0.08514941930391404,SEPopt
0,ndcg,Female,0.07809165819184213,SEPopt
0,ndcg,Under 18,0.07321543737507842,SEPopt
0,ndcg,18-24,0.08979139858916466,SEPopt
0,ndcg,25-34,0.0905199596945153,SEPopt
0,ndcg,35-44,0.09299125290131426,SEPopt
0,ndcg,45-49,0.060657766171156424,SEPopt
0,ndcg,50-55,0.06957946759714854,SEPopt
0,ndcg,56+,0.04842256668390369,SEPopt
0,ndcg,other,0.09772704005445787,SEPopt
0,ndcg,academic/educator,0.09569768530523738,SEPopt
0,ndcg,artist,0.08402715887991785,SEPopt
0,ndcg,clerical/admin,0.11766255338153575,SEPopt
0,ndcg,college/grad student,0.08660565928920703,SEPopt
0,ndcg,customer service,0.07020326953036327,SEPopt
0,ndcg,doctor/health care,0.06984774766158376,SEPopt
0,ndcg,executive/managerial,0.07481297163604216,SEPopt
0,ndcg,farmer,0.046287279128318544,SEPopt
0,ndcg,homemaker,0.07484765115838309,SEPopt
0,ndcg,K-12 student,0.07111581534151036,SEPopt
0,ndcg,lawyer,0.05700949327478709,SEPopt
0,ndcg,programmer,0.06601955437061686,SEPopt
0,ndcg,retired,0.05215962836017803,SEPopt
0,ndcg,sales/marketing,0.07381684276783623,SEPopt
0,ndcg,scientist,0.05142509909125414,SEPopt
0,ndcg,self-employed,0.10400681378207093,SEPopt
0,ndcg,technician/engineer,0.07679673957816396,SEPopt
0,ndcg,tradesman/craftsman,0.10764578858234199,SEPopt
0,ndcg,unemployed,0.13681024381477208,SEPopt
0,ndcg,writer,0.09229220366763093,SEPopt
0,hr,Overall,0.15880112601424076,SEPopt
0,hr,Male,0.16370353267143847,SEPopt
0,hr,Female,0.14637002341920374,SEPopt
0,hr,Under 18,0.13122171945701358,SEPopt
0,hr,18-24,0.17225747960108795,SEPopt
0,hr,25-34,0.17557251908396945,SEPopt
0,hr,35-44,0.17015926236378875,SEPopt
0,hr,45-49,0.11636363636363636,SEPopt
0,hr,50-55,0.14112903225806453,SEPopt
0,hr,56+,0.09210526315789473,SEPopt
0,hr,other,0.18424753867791843,SEPopt
0,hr,academic/educator,0.16856060606060605,SEPopt
0,hr,artist,0.1797752808988764,SEPopt
0,hr,clerical/admin,0.21965317919075145,SEPopt
0,hr,college/grad student,0.1712779973649539,SEPopt
0,hr,customer service,0.13392857142857142,SEPopt
0,hr,doctor/health care,0.11864406779661017,SEPopt
0,hr,executive/managerial,0.14727540500736377,SEPopt
0,hr,farmer,0.11764705882352941,SEPopt
0,hr,homemaker,0.13043478260869565,SEPopt
0,hr,K-12 student,0.12886597938144329,SEPopt
0,hr,lawyer,0.11627906976744186,SEPopt
0,hr,programmer,0.13144329896907217,SEPopt
0,hr,retired,0.08450704225352113,SEPopt
0,hr,sales/marketing,0.1423841059602649,SEPopt
0,hr,scientist,0.1111111111111111,SEPopt
0,hr,self-employed,0.1908713692946058,SEPopt
0,hr,technician/engineer,0.14342629482071714,SEPopt
0,hr,tradesman/craftsman,0.2,SEPopt
0,hr,unemployed,0.2638888888888889,SEPopt
0,hr,writer,0.18861209964412812,SEPopt
0,recall,Overall,0.006299556784027932,SEPopt
0,recall,Male,0.006224001198610398,SEPopt
0,recall,Female,0.006491144161336679,SEPopt
0,recall,Under 18,0.007723310874120422,SEPopt
0,recall,18-24,0.006423450269833227,SEPopt
0,recall,25-34,0.006438311274816236,SEPopt
0,recall,35-44,0.006976048807837279,SEPopt
0,recall,45-49,0.004896248681590887,SEPopt
0,recall,50-55,0.00614726691098074,SEPopt
0,recall,56+,0.004452626961715482,SEPopt
0,recall,other,0.0065022092628119295,SEPopt
