alpha,metric,group,data,opt
0,ndcg,Overall,0.08334556903067238,ETD_SEP_opt
0,ndcg,Male,0.08489679528591461,ETD_SEP_opt
0,ndcg,Female,0.07941210245487955,ETD_SEP_opt
0,ndcg,Under 18,0.07694193881913164,ETD_SEP_opt
0,ndcg,18-24,0.08642432761955676,ETD_SEP_opt
0,ndcg,25-34,0.09111171471807648,ETD_SEP_opt
0,ndcg,35-44,0.0931355445917721,ETD_SEP_opt
0,ndcg,45-49,0.06826017938426014,ETD_SEP_opt
0,ndcg,50-55,0.07176396013185793,ETD_SEP_opt
0,ndcg,56+,0.0415126523658268,ETD_SEP_opt
0,ndcg,other,0.09924008468902538,ETD_SEP_opt
0,ndcg,academic/educator,0.08793260525564266,ETD_SEP_opt
0,ndcg,artist,0.07314065829000031,ETD_SEP_opt
0,ndcg,clerical/admin,0.10382490270033601,ETD_SEP_opt
0,ndcg,college/grad student,0.0870668862161467,ETD_SEP_opt
0,ndcg,customer service,0.07870715802444687,ETD_SEP_opt
0,ndcg,doctor/health care,0.05411993139356137,ETD_SEP_opt
0,ndcg,executive/managerial,0.0854170788634177,ETD_SEP_opt
0,ndcg,farmer,0.043041561984551426,ETD_SEP_opt
0,ndcg,homemaker,0.06715991472434239,ETD_SEP_opt
0,ndcg,K-12 student,0.07384351703720882,ETD_SEP_opt
0,ndcg,lawyer,0.051060622713006536,ETD_SEP_opt
0,ndcg,programmer,0.07799261670198135,ETD_SEP_opt
0,ndcg,retired,0.05035550725947542,ETD_SEP_opt
0,ndcg,sales/marketing,0.06789882548165042,ETD_SEP_opt
0,ndcg,scientist,0.06598006092046943,ETD_SEP_opt
0,ndcg,self-employed,0.10241073073240707,ETD_SEP_opt
0,ndcg,technician/engineer,0.08686254898703753,ETD_SEP_opt
0,ndcg,tradesman/craftsman,0.10578958148675154,ETD_SEP_opt
0,ndcg,unemployed,0.12017897838018993,ETD_SEP_opt
0,ndcg,writer,0.08395312240067115,ETD_SEP_opt
0,hr,Overall,0.16145057128663687,ETD_SEP_opt
0,hr,Male,0.16347263911336873,ETD_SEP_opt
0,hr,Female,0.1563231850117096,ETD_SEP_opt
0,hr,Under 18,0.13574660633484162,ETD_SEP_opt
0,hr,18-24,0.16772438803263826,ETD_SEP_opt
0,hr,25-34,0.1803435114503817,ETD_SEP_opt
0,hr,35-44,0.16848281642917015,ETD_SEP_opt
0,hr,45-49,0.13454545454545455,ETD_SEP_opt
0,hr,50-55,0.14919354838709678,ETD_SEP_opt
0,hr,56+,0.0868421052631579,ETD_SEP_opt
0,hr,other,0.18706047819971872,ETD_SEP_opt
0,hr,academic/educator,0.16098484848484848,ETD_SEP_opt
0,hr,artist,0.15355805243445692,ETD_SEP_opt
0,hr,clerical/admin,0.1907514450867052,ETD_SEP_opt
0,hr,college/grad student,0.17918313570487485,ETD_SEP_opt
0,hr,customer service,0.14285714285714285,ETD_SEP_opt
0,hr,doctor/health care,0.09745762711864407,ETD_SEP_opt
0,hr,executive/managerial,0.16053019145802652,ETD_SEP_opt
0,hr,farmer,0.11764705882352941,ETD_SEP_opt
0,hr,homemaker,0.11956521739130435,ETD_SEP_opt
0,hr,K-12 student,0.13402061855670103,ETD_SEP_opt
0,hr,lawyer,0.10077519379844961,ETD_SEP_opt
0,hr,programmer,0.16494845360824742,ETD_SEP_opt
0,hr,retired,0.09154929577464789,ETD_SEP_opt
0,hr,sales/marketing,0.1390728476821192,ETD_SEP_opt
0,hr,scientist,0.1597222222222222,ETD_SEP_opt
0,hr,self-employed,0.17842323651452283,ETD_SEP_opt
0,hr,technician/engineer,0.17330677290836655,ETD_SEP_opt
0,hr,tradesman/craftsman,0.18571428571428572,ETD_SEP_opt
0,hr,unemployed,0.2222222222222222,ETD_SEP_opt
0,hr,writer,0.16370106761565836,ETD_SEP_opt
0,recall,Overall,0.006994011816127269,ETD_SEP_opt
