alpha,metric,group,data,opt
0,ndcg,Overall,0.08334556903067238,ETDopt
0,ndcg,Male,0.08489679528591461,ETDopt
0,ndcg,Female,0.07941210245487955,ETDopt
0,ndcg,Under 18,0.07694193881913164,ETDopt
0,ndcg,18-24,0.08642432761955676,ETDopt
0,ndcg,25-34,0.09111171471807648,ETDopt
0,ndcg,35-44,0.0931355445917721,ETDopt
0,ndcg,45-49,0.06826017938426014,ETDopt
0,ndcg,50-55,0.07176396013185793,ETDopt
0,ndcg,56+,0.0415126523658268,ETDopt
0,ndcg,other,0.09924008468902538,ETDopt
0,ndcg,academic/educator,0.08793260525564266,ETDopt
0,ndcg,artist,0.07314065829000031,ETDopt
0,ndcg,clerical/admin,0.10382490270033601,ETDopt
0,ndcg,college/grad student,0.0870668862161467,ETDopt
0,ndcg,customer service,0.07870715802444687,ETDopt
0,ndcg,doctor/health care,0.05411993139356137,ETDopt
0,ndcg,executive/managerial,0.0854170788634177,ETDopt
0,ndcg,farmer,0.043041561984551426,ETDopt
0,ndcg,homemaker,0.06715991472434239,ETDopt
0,ndcg,K-12 student,0.07384351703720882,ETDopt
0,ndcg,lawyer,0.051060622713006536,ETDopt
0,ndcg,programmer,0.07799261670198135,ETDopt
0,ndcg,retired,0.05035550725947542,ETDopt
0,ndcg,sales/marketing,0.06789882548165042,ETDopt
0,ndcg,scientist,0.06598006092046943,ETDopt
0,ndcg,self-employed,0.10241073073240707,ETDopt
0,ndcg,technician/engineer,0.08686254898703753,ETDopt
0,ndcg,tradesman/craftsman,0.10578958148675154,ETDopt
0,ndcg,unemployed,0.12017897838018993,ETDopt
0,ndcg,writer,0.08395312240067115,ETDopt
0,hr,Overall,0.16145057128663687,ETDopt
0,hr,Male,0.16347263911336873,ETDopt
0,hr,Female,0.1563231850117096,ETDopt
0,hr,Under 18,0.13574660633484162,ETDopt
0,hr,18-24,0.16772438803263826,ETDopt
0,hr,25-34,0.1803435114503817,ETDopt
0,hr,35-44,0.16848281642917015,ETDopt
0,hr,45-49,0.13454545454545455,ETDopt
0,hr,50-55,0.14919354838709678,ETDopt
0,hr,56+,0.0868421052631579,ETDopt
0,hr,other,0.18706047819971872,ETDopt
0,hr,academic/educator,0.16098484848484848,ETDopt
0,hr,artist,0.15355805243445692,ETDopt
0,hr,clerical/admin,0.1907514450867052,ETDopt
0,hr,college/grad student,0.17918313570487485,ETDopt
0,hr,customer service,0.14285714285714285,ETDopt
0,hr,doctor/health care,0.09745762711864407,ETDopt
0,hr,executive/managerial,0.16053019145802652,ETDopt
0,hr,farmer,0.11764705882352941,ETDopt
0,hr,homemaker,0.11956521739130435,ETDopt
0,hr,K-12 student,0.13402061855670103,ETDopt
0,hr,lawyer,0.10077519379844961,ETDopt
0,hr,programmer,0.16494845360824742,ETDopt
0,hr,retired,0.09154929577464789,ETDopt
0,hr,sales/marketing,0.1390728476821192,ETDopt
0,hr,scientist,0.1597222222222222,ETDopt
0,hr,self-employed,0.17842323651452283,ETDopt
0,hr,technician/engineer,0.17330677290836655,ETDopt
0,hr,tradesman/craftsman,0.18571428571428572,ETDopt
0,hr,unemployed,0.2222222222222222,ETDopt
0,hr,writer,0.16370106761565836,ETDopt
0,recall,Overall,0.006994011816127269,ETDopt
0,recall,Male,0.006891609691881633,ETDopt
0,recall,Female,0.007253674345464419,ETDopt
0,recall,Under 18,0.007045564736584969,ETDopt
0,recall,18-24,0.006728042937266757,ETDopt
0,recall,25-34,0.00761181585125746,ETDopt
0,recall,35-44,0.007449484696298191,ETDopt
0,recall,45-49,0.0064343146343713575,ETDopt
0,recall,50-55,0.006070162626686102,ETDopt
0,recall,56+,0.004914371611426666,ETDopt
0,recall,other,0.006936176945593731,ETDopt
0,recall,academic/educator,0.0065567963110629525,ETDopt
0,recall,artist,0.0056357567116761325,ETDopt
0,recall,clerical/admin,0.006559805960376122,ETDopt
0,recall,college/grad student,0.007456478198190408,ETDopt
0,recall,customer service,0.0035474234110796257,ETDopt
0,recall,doctor/health care,0.006052070421259883,ETDopt
0,recall,executive/managerial,0.007781126176491202,ETDopt
0,recall,farmer,0.0019496434937611407,ETDopt
0,recall,homemaker,0.00990739421212293,ETDopt
0,recall,K-12 student,0.006684456904143965,ETDopt
0,recall,lawyer,0.0046942783244021125,ETDopt
0,recall,programmer,0.007856214732770135,ETDopt
0,recall,retired,0.00632217722500674,ETDopt
0,recall,sales/marketing,0.005453415480675491,ETDopt
0,recall,scientist,0.00577603148904251,ETDopt
0,recall,self-employed,0.007236142297053589,ETDopt
0,recall,technician/engineer,0.008865679355627824,ETDopt
0,recall,tradesman/craftsman,0.010761786042692406,ETDopt
0,recall,unemployed,0.009096557344712982,ETDopt
0,recall,writer,0.005554491929585326,ETDopt
0,precision,Overall,0.0194568637191588,ETDopt
0,precision,Male,0.01987993534980374,ETDopt
0,precision,Female,0.018384074941451993,ETDopt
0,precision,Under 18,0.016289592760180997,ETDopt
0,precision,18-24,0.01976427923844062,ETDopt
0,precision,25-34,0.02166030534351145,ETDopt
0,precision,35-44,0.021542330259849123,ETDopt
0,precision,45-49,0.016363636363636365,ETDopt
0,precision,50-55,0.016330645161290326,ETDopt
0,precision,56+,0.010263157894736844,ETDopt
0,precision,other,0.022222222222222223,ETDopt
0,precision,academic/educator,0.019318181818181818,ETDopt
0,precision,artist,0.016853932584269662,ETDopt
0,precision,clerical/admin,0.0208092485549133,ETDopt
0,precision,college/grad student,0.021080368906455864,ETDopt
0,precision,customer service,0.019642857142857146,ETDopt
0,precision,doctor/health care,0.013559322033898306,ETDopt
0,precision,executive/managerial,0.02061855670103093,ETDopt
0,precision,farmer,0.011764705882352941,ETDopt
0,precision,homemaker,0.015217391304347825,ETDopt
0,precision,K-12 student,0.015979381443298968,ETDopt
0,precision,lawyer,0.010852713178294573,ETDopt
0,precision,programmer,0.01984536082474227,ETDopt
0,precision,retired,0.011267605633802818,ETDopt
0,precision,sales/marketing,0.015562913907284771,ETDopt
0,precision,scientist,0.018750000000000003,ETDopt
0,precision,self-employed,0.021991701244813276,ETDopt
0,precision,technician/engineer,0.0201195219123506,ETDopt
0,precision,tradesman/craftsman,0.022857142857142857,ETDopt
0,precision,unemployed,0.026388888888888892,ETDopt
0,precision,writer,0.022419928825622777,ETDopt
0,LIR,Overall,0.1540183496947378,ETDopt
0,LIR,Male,0.15764940232342606,ETDopt
0,LIR,Female,0.14481642521559865,ETDopt
0,LIR,Under 18,0.11486324172982182,ETDopt
0,LIR,18-24,0.1480333156342371,ETDopt
0,LIR,25-34,0.17295814722786168,ETDopt
0,LIR,35-44,0.16009861133689415,ETDopt
0,LIR,45-49,0.14212425309512675,ETDopt
0,LIR,50-55,0.14333166928824637,ETDopt
0,LIR,56+,0.10187283753639373,ETDopt
0,LIR,other,0.15012650539880523,ETDopt
0,LIR,academic/educator,0.16344867044678357,ETDopt
0,LIR,artist,0.17721225949768035,ETDopt
0,LIR,clerical/admin,0.20300058454413852,ETDopt
0,LIR,college/grad student,0.15204838725596337,ETDopt
0,LIR,customer service,0.22151814520497473,ETDopt
0,LIR,doctor/health care,0.14334153146509201,ETDopt
0,LIR,executive/managerial,0.12977713752435768,ETDopt
0,LIR,farmer,0.14030199528857673,ETDopt
0,LIR,homemaker,0.13055320163671733,ETDopt
0,LIR,K-12 student,0.1133781533481295,ETDopt
0,LIR,lawyer,0.1432514113081663,ETDopt
0,LIR,programmer,0.176305115234491,ETDopt
0,LIR,retired,0.10403552135148447,ETDopt
0,LIR,sales/marketing,0.1612161439575059,ETDopt
0,LIR,scientist,0.16840859537644373,ETDopt
0,LIR,self-employed,0.16045346336044428,ETDopt
0,LIR,technician/engineer,0.13951539616349806,ETDopt
0,LIR,tradesman/craftsman,0.11234620705326577,ETDopt
0,LIR,unemployed,0.23319738278679544,ETDopt
0,LIR,writer,0.1714269623914664,ETDopt
0,SEP,Overall,0.5494111673647657,ETDopt
0,SEP,Male,0.548907189712369,ETDopt
0,SEP,Female,0.5506891106976292,ETDopt
0,SEP,Under 18,0.5508561439564607,ETDopt
0,SEP,18-24,0.5463941922592757,ETDopt
0,SEP,25-34,0.5462173986198523,ETDopt
0,SEP,35-44,0.5501791355342424,ETDopt
0,SEP,45-49,0.5530179561298196,ETDopt
0,SEP,50-55,0.5607657126310336,ETDopt
0,SEP,56+,0.552492085009228,ETDopt
0,SEP,other,0.5429890699142994,ETDopt
0,SEP,academic/educator,0.5560808996684197,ETDopt
0,SEP,artist,0.5534290052762223,ETDopt
0,SEP,clerical/admin,0.5548625940360284,ETDopt
0,SEP,college/grad student,0.5406641389208457,ETDopt
0,SEP,customer service,0.5383205372942168,ETDopt
0,SEP,doctor/health care,0.5512572754254687,ETDopt
0,SEP,executive/managerial,0.5548403349397337,ETDopt
0,SEP,farmer,0.5336646483146288,ETDopt
0,SEP,homemaker,0.5366685390000846,ETDopt
0,SEP,K-12 student,0.5471111950386696,ETDopt
0,SEP,lawyer,0.5472834623812772,ETDopt
0,SEP,programmer,0.5513859048637941,ETDopt
0,SEP,retired,0.5498004229222382,ETDopt
0,SEP,sales/marketing,0.5511104440990624,ETDopt
0,SEP,scientist,0.5661010398286033,ETDopt
0,SEP,self-employed,0.5591001924185867,ETDopt
0,SEP,technician/engineer,0.5495718302896307,ETDopt
0,SEP,tradesman/craftsman,0.5741342117288354,ETDopt
