alpha,metric,group,data,opt
0,ndcg,Overall,0.08362399628214386,LIRopt
0,ndcg,Male,0.08586127625588798,LIRopt
0,ndcg,Female,0.07795089349157842,LIRopt
0,ndcg,Under 18,0.07400137564109059,LIRopt
0,ndcg,18-24,0.089926695254119,LIRopt
0,ndcg,25-34,0.09127512431243058,LIRopt
0,ndcg,35-44,0.09217460978559848,LIRopt
0,ndcg,45-49,0.06565668742696674,LIRopt
0,ndcg,50-55,0.06865164896576594,LIRopt
0,ndcg,56+,0.047427628055177494,LIRopt
0,ndcg,other,0.09912948188958857,LIRopt
0,ndcg,academic/educator,0.09181906715016845,LIRopt
0,ndcg,artist,0.07589822336522446,LIRopt
0,ndcg,clerical/admin,0.10951764619581947,LIRopt
0,ndcg,college/grad student,0.09066446849601797,LIRopt
0,ndcg,customer service,0.08829508448637169,LIRopt
0,ndcg,doctor/health care,0.06154850012458873,LIRopt
0,ndcg,executive/managerial,0.08490817424563048,LIRopt
0,ndcg,farmer,0.04808996266517263,LIRopt
0,ndcg,homemaker,0.07231097002714006,LIRopt
0,ndcg,K-12 student,0.07296459421364651,LIRopt
0,ndcg,lawyer,0.05171445949587698,LIRopt
0,ndcg,programmer,0.06623712202056536,LIRopt
0,ndcg,retired,0.05927739812449593,LIRopt
0,ndcg,sales/marketing,0.0674604089672438,LIRopt
0,ndcg,scientist,0.05451638007835872,LIRopt
0,ndcg,self-employed,0.09807651551102921,LIRopt
0,ndcg,technician/engineer,0.0786154639082868,LIRopt
0,ndcg,tradesman/craftsman,0.1074262787973176,LIRopt
0,ndcg,unemployed,0.12181998657453079,LIRopt
0,ndcg,writer,0.09224703095724367,LIRopt
0,hr,Overall,0.15880112601424076,LIRopt
0,hr,Male,0.16185638420688062,LIRopt
0,hr,Female,0.15105386416861827,LIRopt
0,hr,Under 18,0.12669683257918551,LIRopt
0,hr,18-24,0.16953762466001812,LIRopt
0,hr,25-34,0.17509541984732824,LIRopt
0,hr,35-44,0.17099748533109807,LIRopt
0,hr,45-49,0.12545454545454546,LIRopt
0,hr,50-55,0.13911290322580644,LIRopt
0,hr,56+,0.09210526315789473,LIRopt
0,hr,other,0.18143459915611815,LIRopt
0,hr,academic/educator,0.16666666666666666,LIRopt
0,hr,artist,0.16853932584269662,LIRopt
0,hr,clerical/admin,0.20809248554913296,LIRopt
0,hr,college/grad student,0.17523056653491437,LIRopt
0,hr,customer service,0.15178571428571427,LIRopt
0,hr,doctor/health care,0.11864406779661017,LIRopt
0,hr,executive/managerial,0.1634756995581738,LIRopt
0,hr,farmer,0.11764705882352941,LIRopt
0,hr,homemaker,0.13043478260869565,LIRopt
0,hr,K-12 student,0.12886597938144329,LIRopt
0,hr,lawyer,0.10852713178294573,LIRopt
0,hr,programmer,0.12886597938144329,LIRopt
0,hr,retired,0.11267605633802817,LIRopt
0,hr,sales/marketing,0.1390728476821192,LIRopt
