alpha,metric,group,data,opt
0,ndcg,Overall,0.08362399628214386,SEP_LIR_opt
0,ndcg,Male,0.08586127625588798,SEP_LIR_opt
0,ndcg,Female,0.07795089349157842,SEP_LIR_opt
0,ndcg,Under 18,0.07400137564109059,SEP_LIR_opt
0,ndcg,18-24,0.089926695254119,SEP_LIR_opt
0,ndcg,25-34,0.09127512431243058,SEP_LIR_opt
0,ndcg,35-44,0.09217460978559848,SEP_LIR_opt
0,ndcg,45-49,0.06565668742696674,SEP_LIR_opt
0,ndcg,50-55,0.06865164896576594,SEP_LIR_opt
0,ndcg,56+,0.047427628055177494,SEP_LIR_opt
0,ndcg,other,0.09912948188958857,SEP_LIR_opt
0,ndcg,academic/educator,0.09181906715016845,SEP_LIR_opt
0,ndcg,artist,0.07589822336522446,SEP_LIR_opt
0,ndcg,clerical/admin,0.10951764619581947,SEP_LIR_opt
0,ndcg,college/grad student,0.09066446849601797,SEP_LIR_opt
0,ndcg,customer service,0.08829508448637169,SEP_LIR_opt
0,ndcg,doctor/health care,0.06154850012458873,SEP_LIR_opt
0,ndcg,executive/managerial,0.08490817424563048,SEP_LIR_opt
0,ndcg,farmer,0.04808996266517263,SEP_LIR_opt
0,ndcg,homemaker,0.07231097002714006,SEP_LIR_opt
0,ndcg,K-12 student,0.07296459421364651,SEP_LIR_opt
0,ndcg,lawyer,0.05171445949587698,SEP_LIR_opt
0,ndcg,programmer,0.06623712202056536,SEP_LIR_opt
0,ndcg,retired,0.05927739812449593,SEP_LIR_opt
0,ndcg,sales/marketing,0.0674604089672438,SEP_LIR_opt
0,ndcg,scientist,0.05451638007835872,SEP_LIR_opt
0,ndcg,self-employed,0.09807651551102921,SEP_LIR_opt
0,ndcg,technician/engineer,0.0786154639082868,SEP_LIR_opt
0,ndcg,tradesman/craftsman,0.1074262787973176,SEP_LIR_opt
0,ndcg,unemployed,0.12181998657453079,SEP_LIR_opt
0,ndcg,writer,0.09224703095724367,SEP_LIR_opt
0,hr,Overall,0.15880112601424076,SEP_LIR_opt
0,hr,Male,0.16185638420688062,SEP_LIR_opt
0,hr,Female,0.15105386416861827,SEP_LIR_opt
0,hr,Under 18,0.12669683257918551,SEP_LIR_opt
0,hr,18-24,0.16953762466001812,SEP_LIR_opt
